p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength
0,3.527849678,0.907,0.023,0,Endothelial ACKR1,ACKR1,subset,3.527849678
0,2.574787336,0.934,0.045,0,Endothelial ACKR1,PLVAP,subset,2.574787336
0,2.381228054,0.9,0.032,0,Endothelial ACKR1,VWF,subset,2.381228054
0,2.317007186,0.859,0.051,0,Endothelial ACKR1,AQP1,subset,2.317007186
0,2.150580797,0.959,0.184,0,Endothelial ACKR1,SPARCL1,subset,2.150580797
0,2.041115486,0.84,0.032,0,Endothelial ACKR1,RAMP3,subset,2.041115486
0,1.988595766,0.868,0.083,0,Endothelial ACKR1,RAMP2,subset,1.988595766
0,1.982914466,0.877,0.135,0,Endothelial ACKR1,ENG,subset,1.982914466
0,1.938070676,0.589,0.068,0,Endothelial ACKR1,FABP4,subset,1.938070676
0,1.910356196,0.871,0.097,0,Endothelial ACKR1,PECAM1,subset,1.910356196
0,1.879733536,0.784,0.113,0,Endothelial ACKR1,SPRY1,subset,1.879733536
0,1.724410851,0.775,0.089,0,Endothelial ACKR1,EGFL7,subset,1.724410851
0,1.720504977,0.981,0.26,0,Endothelial ACKR1,IGFBP7,subset,1.720504977
0,1.699525266,0.661,0.032,0,Endothelial ACKR1,CLDN5,subset,1.699525266
0,1.680357832,0.876,0.268,0,Endothelial ACKR1,NPDC1,subset,1.680357832
0,1.664674231,0.797,0.03,0,Endothelial ACKR1,EMCN,subset,1.664674231
0,1.662553937,0.915,0.287,0,Endothelial ACKR1,IGFBP4,subset,1.662553937
0,1.645349989,0.799,0.199,0,Endothelial ACKR1,PRCP,subset,1.645349989
0,1.634780691,0.827,0.086,0,Endothelial ACKR1,HSPG2,subset,1.634780691
0,1.613276729,0.846,0.117,0,Endothelial ACKR1,GNG11,subset,1.613276729
0,1.606781964,0.44,0.004,0,Endothelial ACKR1,SELE,subset,1.606781964
0,1.569981528,0.829,0.274,0,Endothelial ACKR1,PDLIM1,subset,1.569981528
0,1.565081658,0.935,0.543,0,Endothelial ACKR1,FKBP1A,subset,1.565081658
0,1.558021474,0.773,0.028,0,Endothelial ACKR1,ADGRL4,subset,1.558021474
0,1.542887194,0.697,0.038,0,Endothelial ACKR1,CALCRL,subset,1.542887194
0,1.506457884,0.723,0.155,0,Endothelial ACKR1,PDK4,subset,1.506457884
0,1.493709836,0.635,0.033,0,Endothelial ACKR1,SDPR,subset,1.493709836
0,1.481359483,0.864,0.096,0,Endothelial ACKR1,RNASE1,subset,1.481359483
0,1.461247689,0.693,0.028,0,Endothelial ACKR1,ZNF385D,subset,1.461247689
0,1.455425971,0.74,0.033,0,Endothelial ACKR1,CLEC14A,subset,1.455425971
0,1.446341705,0.854,0.166,0,Endothelial ACKR1,A2M,subset,1.446341705
0,1.43352691,0.833,0.357,0,Endothelial ACKR1,SOCS3,subset,1.43352691
0,1.409246507,0.978,0.552,0,Endothelial ACKR1,IFITM3,subset,1.409246507
0,1.394110662,0.706,0.041,0,Endothelial ACKR1,CD34,subset,1.394110662
0,1.386189009,0.683,0.05,0,Endothelial ACKR1,COL15A1,subset,1.386189009
0,1.384260847,0.616,0.02,0,Endothelial ACKR1,TSPAN7,subset,1.384260847
0,1.371096794,0.7,0.227,0,Endothelial ACKR1,CLU,subset,1.371096794
0,1.368808936,0.963,0.322,0,Endothelial ACKR1,IFI27,subset,1.368808936
0,1.363300859,0.704,0.019,0,Endothelial ACKR1,CXorf36,subset,1.363300859
0,1.350271433,0.799,0.321,0,Endothelial ACKR1,DUSP23,subset,1.350271433
0,1.34842454,0.595,0.035,0,Endothelial ACKR1,ADAMTS9,subset,1.34842454
0,1.341808918,0.753,0.063,0,Endothelial ACKR1,ESAM,subset,1.341808918
0,1.336488016,0.659,0.135,0,Endothelial ACKR1,ID1,subset,1.336488016
0,1.332555387,0.562,0.102,0,Endothelial ACKR1,HYAL2,subset,1.332555387
0,1.324788427,0.758,0.194,0,Endothelial ACKR1,EMP1,subset,1.324788427
0,1.316474797,0.619,0.055,0,Endothelial ACKR1,MCTP1,subset,1.316474797
0,1.300337649,0.501,0.114,0,Endothelial ACKR1,RCAN1,subset,1.300337649
0,1.298711986,0.784,0.23,0,Endothelial ACKR1,BCAM,subset,1.298711986
0,1.292065238,0.648,0.034,0,Endothelial ACKR1,IL33,subset,1.292065238
0,1.284899384,0.753,0.188,0,Endothelial ACKR1,ETS2,subset,1.284899384
0,1.28105799,0.78,0.171,0,Endothelial ACKR1,TGFBR2,subset,1.28105799
0,1.278775821,0.901,0.454,0,Endothelial ACKR1,CD59,subset,1.278775821
0,1.275122445,0.799,0.17,0,Endothelial ACKR1,NNMT,subset,1.275122445
0,1.254712169,0.707,0.13,0,Endothelial ACKR1,LMCD1,subset,1.254712169
0,1.231544657,0.793,0.178,0,Endothelial ACKR1,PTRF,subset,1.231544657
0,1.218882817,0.685,0.077,0,Endothelial ACKR1,SNCG,subset,1.218882817
0,1.217990894,0.654,0.064,0,Endothelial ACKR1,PALMD,subset,1.217990894
0,1.215816067,0.743,0.146,0,Endothelial ACKR1,EPAS1,subset,1.215816067
0,1.195368095,0.588,0.086,0,Endothelial ACKR1,ADAMTS1,subset,1.195368095
0,1.19483,0.799,0.3,0,Endothelial ACKR1,ID3,subset,1.19483
0,1.193970085,0.682,0.063,0,Endothelial ACKR1,CD93,subset,1.193970085
0,1.189409644,0.848,0.274,0,Endothelial ACKR1,TM4SF1,subset,1.189409644
0,1.188480363,0.898,0.337,0,Endothelial ACKR1,CRIP2,subset,1.188480363
0,1.172049901,0.518,0.052,0,Endothelial ACKR1,CD36,subset,1.172049901
0,1.143709611,0.775,0.172,0,Endothelial ACKR1,TCF4,subset,1.143709611
