CD4_c0_Tcm,CD4_c1_Treg,CD4_c2_Tn,CD4_c3_Tfh,CD4_c4_Tstr,CD4_c5_CTL,CD4_c6_Tn_FHIT,CD4_c7_Tn_TCEA3,CD4_c8_Tf17,CD4_c9_Tn_TCF7_SLC40A1,CD4_c10_Tn_LEF1_ANKRD55,CD4_c11_Tisg,CD8_c0_t-Teff,CD8_c1_Tex,CD8_c2_Teff,CD8_c3_Tn,CD8_c4_Tstr,CD8_c5_Tisg,CD8_c6_Tcm,CD8_c7_p-Tex,CD8_c8_Teff_KLRG1,CD8_c9_Tsen,CD8_c10_Teff_CD244,CD8_c11_Teff_SEMA4A,CD8_c12_Trm,CD8_c13_Tn_TCF7,MAIT_c2,MAIT-like_c1,NKT_c0_FCGR3A_GZMB,NKT_c4,Tgd_c3
ANXA1,FOXP3,NBEAL1,CXCL13,HSPA6,GZMA,FHIT,TCEA3,GNLY,SLC40A1,ANKRD55,ISG15,LMNA,CXCL13,FGFBP2,LTB,HSPA6,ISG15,DKK3,CHI3L2,LGR6,KLRC4,CD244,SEMA4A,ITGA1,NHSL2,SLC4A10,IL7R,GZMH,KIR2DL3,ZNF683
LMNA,IL2RA,CCR7,NMB,HSPA1A,CCL5,ADTRP,NOSIP,SLC1A4,TCF7,LEF1,IFI6,ZFP36,GZMB,GNLY,SELL,HSPA1A,IFI6,CLDND1,FABP5,FGFBP2,PLCG2,KLRG1,LMNA,CPNE7,TCF7,LTB,LTB,GNLY,IGKC,CX3CR1
VIM,TNFRSF4,GLTSCR2,PDCD1,HSPA1B,CCL4,GLTSCR2,TCF7,CTSH,NOSIP,TCF7,IFI44L,RGCC,HAVCR2,GZMH,LEF1,HSPA1B,MX1,TRAT1,PTPRCAP,PLEK,IGKC,PTPRCAP,TMEM66,TXNIP,NACA2,GZMK,KLRB1,FGFBP2,EEF1A1P5,TRDV2
KLRB1,TIGIT,TCF7,FABP5,DNAJB1,GZMH,EIF3E,LEF1,CXCR6,LEF1,NOSIP,MX1,CXCR4,KRT86,CX3CR1,NOSIP,DNAJB1,IFI44L,SARAF,ACTG1,CX3CR1,EEF1A1P5,EEF1A1P5,EEF1A1P5,IL7R,C6ORF48,TRAV1-2,CEBPD,PRSS23,XCL1,ADGRG1
IL7R,CARD16,GNB2L1,ITM2A,HSPH1,NKG7,NOSIP,MAL,LGALS3,MAL,SELL,IFIT3,DUSP2,CCL3,S1PR5,EIF3E,HSPH1,IFIT3,LDHA,CD27,S1PR5,KLRK1,PLEK,GZMK,H1FX,RACK1,IL7R,FTH1,NKG7,KIR2DL1,SELL
ZFP36,TNFRSF18,SELL,LAG3,HSP90AA1,HOPX,SELL,C1orf162,PLIN2,SELL,IL6ST,IFIT1,ZFP36L2,ENTPD1,SPON2,CCR7,HSP90AA1,IFIT1,ITM2C,CD38,SPON2,KLRC4-KLRK1,LIME1,JUND,TMEM173,SELL,FOS,TPT1,GZMB,KIR2DL4,S100B
ZFP36L2,BATF,C6orf48,CD200,HSPE1,GZMB,C6orf48,LDLRAP1,JAML,C1orf162,LDLRAP1,RSAD2,JUND,VCAM1,FCGR3A,EEF1B2,BAG3,RSAD2,DUSP2,CAV1,ADGRG1,TMSB4XP8,DENND2D,HLA-H,ETS1,C12ORF57,AQP3,JUND,LGALS1,KLRC2,TRBV28
GPR183,CTLA4,TMEM66,TOX2,HSPB1,LGALS1,DONSON,FLT3LG,KLRB1,LDLRAP1,RIPOR2,STAT1,XCL1,LAG3,PLEK,MAL,HSPD1,OAS1,MLLT3,CNN2,FCRL6,HSPA1B,SLC9A3R1,PTPRCAP,PIK3IP1,TPT1,TRBV20-1,TNFAIP3,FCGR3A,XCL2,SPON2
CXCR4,RTKN2,EEF1B2,GNG4,BAG3,ALOX5AP,TCF7,EIF3E,IL17F,FLT3LG,FYB1,MX2,GZMK,TNFRSF9,ADGRG1,GLTSCR2,HSPE1,IFI27,ATP6V0C,DENND2D,RIPOR2,HLA-H,SASH3,TMSB4XP8,ERN1,GLTSCR2,DPP4,GZMK,SYNGR1,TIGIT,ASCL2
RGCC,IL32,LEF1,TIGIT,HSPD1,GZMK,LEF1,RASGRP2,IL17A,KLF2,TRABD2A,OAS1,FTH1,CTLA4,FCRL6,AIF1,HSPB1,IFI44,GGA2,PFN1,PAXX,C1orf56,CMC1,C6orf62,BCL11B,LEF1,CD69,AQP3,HLA-DRB1,TMSB4XP8,TRGV10
