cluster,gene,avg_logFC,p_val,p_val_adj,pct.1,pct.2,celltype,avg_strength
CD4_c0_Tcm,ANXA1,0.879301603256264,0,0,0.752,0.367,T,0.879301603256264
CD4_c0_Tcm,LMNA,0.696180643007716,0,0,0.379,0.196,T,0.696180643007716
CD4_c0_Tcm,VIM,0.610331018300672,0,0,0.879,0.71,T,0.610331018300672
CD4_c0_Tcm,KLRB1,0.610124658812647,0,0,0.453,0.245,T,0.610124658812647
CD4_c0_Tcm,IL7R,0.608442217538985,0,0,0.87,0.633,T,0.608442217538985
CD4_c0_Tcm,ZFP36,0.593523103366908,0,0,0.748,0.584,T,0.593523103366908
CD4_c0_Tcm,ZFP36L2,0.526574545466559,0,0,0.907,0.748,T,0.526574545466559
CD4_c0_Tcm,GPR183,0.524558903997628,0,0,0.507,0.297,T,0.524558903997628
CD4_c0_Tcm,CXCR4,0.49618588134812,0,0,0.847,0.691,T,0.49618588134812
CD4_c0_Tcm,RGCC,0.491553578134432,0,0,0.502,0.36,T,0.491553578134432
CD4_c0_Tcm,FTH1,0.491452265002461,0,0,0.965,0.938,T,0.491452265002461
CD4_c0_Tcm,MYADM,0.464535152498722,0,0,0.328,0.181,T,0.464535152498722
CD4_c0_Tcm,FOS,0.438618330413745,0,0,0.58,0.401,T,0.438618330413745
CD4_c0_Tcm,AHNAK,0.41014763515804,0,0,0.509,0.346,T,0.41014763515804
CD4_c0_Tcm,PTGER4,0.399067073073683,0,0,0.395,0.23,T,0.399067073073683
CD4_c0_Tcm,JUND,0.396299272732957,0,0,0.469,0.34,T,0.396299272732957
CD4_c0_Tcm,TNFAIP3,0.387907802739203,0,0,0.647,0.492,T,0.387907802739203
CD4_c0_Tcm,KLF2,0.380012234250156,0,0,0.456,0.285,T,0.380012234250156
CD4_c0_Tcm,GPR171,0.367266209911804,0,0,0.289,0.164,T,0.367266209911804
CD4_c0_Tcm,S100A10,0.365684640908529,0,0,0.759,0.59,T,0.365684640908529
CD4_c0_Tcm,MCL1,0.362168235223159,0,0,0.617,0.491,T,0.362168235223159
CD4_c0_Tcm,LYAR,0.35780192409112,0,0,0.239,0.117,T,0.35780192409112
CD4_c0_Tcm,S100A11,0.357455110926354,0,0,0.678,0.51,T,0.357455110926354
CD4_c0_Tcm,TTC19,0.350714146708875,3.00313667270852e-78,2.35316780263421e-73,0.219,0.18,T,0.350714146708875
CD4_c0_Tcm,CD69,0.341747881781765,0,0,0.632,0.467,T,0.341747881781765
CD4_c0_Tcm,ADGRE5,0.339342854050015,0,0,0.318,0.199,T,0.339342854050015
CD4_c0_Tcm,FKBP11,0.32653906251833,0,0,0.291,0.147,T,0.32653906251833
CD4_c0_Tcm,PIK3R1,0.325951178304858,0,0,0.426,0.289,T,0.325951178304858
CD4_c0_Tcm,CD55,0.324547390265778,0,0,0.334,0.202,T,0.324547390265778
CD4_c0_Tcm,TSC22D3,0.3187545715689,0,0,0.832,0.719,T,0.3187545715689
CD4_c0_Tcm,FAM177A1,0.313961598042888,0,0,0.426,0.323,T,0.313961598042888
CD4_c0_Tcm,AREG,0.312605366930256,0,0,0.199,0.107,T,0.312605366930256
CD4_c0_Tcm,TOB1,0.312371931781681,0,0,0.314,0.216,T,0.312371931781681
CD4_c0_Tcm,ARL4C,0.310699360405045,0,0,0.495,0.356,T,0.310699360405045
CD4_c0_Tcm,ANXA2,0.301891167633463,0,0,0.417,0.274,T,0.301891167633463
CD4_c0_Tcm,FOSB,0.301589492306049,0,0,0.345,0.234,T,0.301589492306049
CD4_c0_Tcm,KLF6,0.295821781188692,0,0,0.738,0.602,T,0.295821781188692
CD4_c0_Tcm,NR4A2,0.288440777845776,0,0,0.341,0.232,T,0.288440777845776
CD4_c0_Tcm,TIMP1,0.286408119951522,0,0,0.329,0.199,T,0.286408119951522
CD4_c0_Tcm,TGFB1,0.283362943260912,0,0,0.349,0.241,T,0.283362943260912
CD4_c0_Tcm,PTGER2,0.281938572867627,0,0,0.169,0.069,T,0.281938572867627
CD4_c0_Tcm,AQP3,0.280717072504625,0,0,0.319,0.212,T,0.280717072504625
CD4_c0_Tcm,CRIP1,0.277506195341117,1.07463261425038e-168,8.4204987754817e-164,0.523,0.45,T,0.277506195341117
CD4_c0_Tcm,TAGLN2,0.276673095326239,0,0,0.642,0.523,T,0.276673095326239
CD4_c0_Tcm,CRYBG1,0.275158255011024,0,0,0.203,0.114,T,0.275158255011024
CD4_c0_Tcm,CDKN1A,0.270452085805796,0,0,0.234,0.147,T,0.270452085805796
CD4_c0_Tcm,EZR,0.267546710939041,1.25473194949798e-289,9.83170313668134e-285,0.555,0.473,T,0.267546710939041
CD4_c0_Tcm,SLC2A3,0.266303861082549,0,0,0.522,0.408,T,0.266303861082549
CD4_c0_Tcm,PLP2,0.265732341558654,0,0,0.514,0.374,T,0.265732341558654
CD4_c0_Tcm,GLIPR1,0.261317700760737,0,0,0.387,0.276,T,0.261317700760737
CD4_c1_Treg,FOXP3,1.66320682995963,0,0,0.588,0.021,T,1.66320682995963
CD4_c1_Treg,IL2RA,1.35227601044626,0,0,0.447,0.054,T,1.35227601044626
CD4_c1_Treg,TNFRSF4,1.28345057801703,0,0,0.546,0.2,T,1.28345057801703
CD4_c1_Treg,TIGIT,1.28207330989254,0,0,0.708,0.172,T,1.28207330989254
CD4_c1_Treg,CARD16,1.16268664076663,0,0,0.622,0.209,T,1.16268664076663
CD4_c1_Treg,TNFRSF18,1.1569824309978,0,0,0.519,0.161,T,1.1569824309978
CD4_c1_Treg,BATF,1.11116262347763,0,0,0.671,0.286,T,1.11116262347763
CD4_c1_Treg,CTLA4,1.06379400578068,0,0,0.586,0.173,T,1.06379400578068
CD4_c1_Treg,RTKN2,1.04962941830191,0,0,0.364,0.028,T,1.04962941830191
CD4_c1_Treg,IL32,1.01554197626112,0,0,0.96,0.787,T,1.01554197626112
CD4_c1_Treg,PMAIP1,0.966033479774082,0,0,0.466,0.136,T,0.966033479774082
CD4_c1_Treg,SAT1,0.965387382449786,0,0,0.77,0.516,T,0.965387382449786
CD4_c1_Treg,CTSC,0.957214830569987,0,0,0.571,0.245,T,0.957214830569987
