gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength
CD1C,0,3.561873655,0.58,0.036,0,cDC(CD1C),3.561873655
FCER1A,0,3.471870924,0.671,0.078,0,cDC(CD1C),3.471870924
CD1E,0,2.877612529,0.53,0.029,0,cDC(CD1C),2.877612529
CLEC10A,0,2.787168269,0.714,0.168,0,cDC(CD1C),2.787168269
IL1R2,0,1.999035248,0.323,0.073,0,cDC(CD1C),1.999035248
NDRG2,0,1.795362611,0.545,0.1,0,cDC(CD1C),1.795362611
HLA-DQB2,0,1.70637772,0.602,0.285,0,cDC(CD1C),1.70637772
CST7,0,1.580623763,0.456,0.109,0,cDC(CD1C),1.580623763
PPA1,0,1.55612884,0.804,0.422,0,cDC(CD1C),1.55612884
PKIB,0,1.48948512,0.628,0.202,0,cDC(CD1C),1.48948512
FCGR2B,0,1.276938678,0.74,0.389,0,cDC(CD1C),1.276938678
HLA-DQA2,0,1.197209261,0.764,0.484,0,cDC(CD1C),1.197209261
LGALS2,0,1.176596435,0.485,0.231,0,cDC(CD1C),1.176596435
CYP2S1,0,1.170210398,0.354,0.1,0,cDC(CD1C),1.170210398
GSN,0,1.127673646,0.898,0.604,0,cDC(CD1C),1.127673646
CNN2,0,1.0400165,0.696,0.369,0,cDC(CD1C),1.0400165
CKLF,0,0.977585088,0.73,0.48,0,cDC(CD1C),0.977585088
EIF3L,0,0.896965261,0.854,0.571,0,cDC(CD1C),0.896965261
PAK1,0,0.811462689,0.684,0.409,0,cDC(CD1C),0.811462689
IL13RA1,0,0.811367145,0.636,0.36,0,cDC(CD1C),0.811367145
LSP1,0,0.806660873,0.912,0.644,0,cDC(CD1C),0.806660873
SPINT2,0,0.766071594,0.751,0.469,0,cDC(CD1C),0.766071594
GLIPR1,0,0.736551192,0.816,0.557,0,cDC(CD1C),0.736551192
STK17B,0,0.727833932,0.699,0.416,0,cDC(CD1C),0.727833932
PEA15,0,0.683246793,0.752,0.491,0,cDC(CD1C),0.683246793
TMEM14C,0,0.665194599,0.755,0.504,0,cDC(CD1C),0.665194599
RNASE6,0,0.47640239,0.784,0.512,0,cDC(CD1C),0.47640239
ICAM3,0,0.446746209,0.43,0.17,0,cDC(CD1C),0.446746209
NAPSA,0,0.423353889,0.425,0.153,0,cDC(CD1C),0.423353889
CSF2RA,1.96E-307,0.845230373,0.661,0.39,3.61E-303,cDC(CD1C),0.845230373
PRCP,5.76E-297,0.964393996,0.624,0.363,1.06E-292,cDC(CD1C),0.964393996
CLNS1A,1.24E-268,0.762518541,0.648,0.396,2.28E-264,cDC(CD1C),0.762518541
IL18,1.15E-264,0.678513275,0.677,0.415,2.12E-260,cDC(CD1C),0.678513275
HLA-DOA,1.06E-242,0.927061265,0.625,0.367,1.95E-238,cDC(CD1C),0.927061265
C1orf54,0,3.901823596,0.893,0.271,0,cDC_CLEC9A,3.901823596
IDO1,0,3.884862128,0.796,0.097,0,cDC_CLEC9A,3.884862128
CLEC9A,0,3.709144783,0.813,0.029,0,cDC_CLEC9A,3.709144783
DNASE1L3,0,3.474886537,0.74,0.054,0,cDC_CLEC9A,3.474886537
