gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength,cluster0,celltype
CCL22,0,4.508844361,0.496,0.02,0,cDC3_LAMP3,4.508844361,cDC3_LAMP3,Mye
FSCN1,0,4.390307717,0.804,0.093,0,cDC3_LAMP3,4.390307717,cDC3_LAMP3,Mye
CCL19,0,4.040890425,0.574,0.017,0,cDC3_LAMP3,4.040890425,cDC3_LAMP3,Mye
LAMP3,0,3.688877926,0.789,0.042,0,cDC3_LAMP3,3.688877926,cDC3_LAMP3,Mye
CCR7,0,3.68541506,0.698,0.033,0,cDC3_LAMP3,3.68541506,cDC3_LAMP3,Mye
MARCKSL1,0,3.580571955,0.828,0.248,0,cDC3_LAMP3,3.580571955,cDC3_LAMP3,Mye
CCL17,0,3.299977874,0.382,0.017,0,cDC3_LAMP3,3.299977874,cDC3_LAMP3,Mye
BIRC3,0,3.100029067,0.789,0.205,0,cDC3_LAMP3,3.100029067,cDC3_LAMP3,Mye
CST7,0,2.756557663,0.675,0.128,0,cDC3_LAMP3,2.756557663,cDC3_LAMP3,Mye
EBI3,0,2.588689012,0.606,0.146,0,cDC3_LAMP3,2.588689012,cDC3_LAMP3,Mye
C1orf54,0,3.901823596,0.893,0.271,0,cDC_CLEC9A,3.901823596,cDC_CLEC9A,Mye
IDO1,0,3.884862128,0.796,0.097,0,cDC_CLEC9A,3.884862128,cDC_CLEC9A,Mye
CLEC9A,0,3.709144783,0.813,0.029,0,cDC_CLEC9A,3.709144783,cDC_CLEC9A,Mye
DNASE1L3,0,3.474886537,0.74,0.054,0,cDC_CLEC9A,3.474886537,cDC_CLEC9A,Mye
XCR1,0,3.437153073,0.573,0.001,0,cDC_CLEC9A,3.437153073,cDC_CLEC9A,Mye
S100B,0,3.396137747,0.526,0.093,0,cDC_CLEC9A,3.396137747,cDC_CLEC9A,Mye
CPVL,0,3.322989473,0.917,0.557,0,cDC_CLEC9A,3.322989473,cDC_CLEC9A,Mye
WDFY4,0,3.287893992,0.817,0.15,0,cDC_CLEC9A,3.287893992,cDC_CLEC9A,Mye
CPNE3,0,2.979715496,0.879,0.231,0,cDC_CLEC9A,2.979715496,cDC_CLEC9A,Mye
CADM1,0,2.937863723,0.621,0.107,0,cDC_CLEC9A,2.937863723,cDC_CLEC9A,Mye
CD1C,0,3.561873655,0.58,0.036,0,cDC(CD1C),3.561873655,cDC(CD1C),Mye
FCER1A,0,3.471870924,0.671,0.078,0,cDC(CD1C),3.471870924,cDC(CD1C),Mye
CD1E,0,2.877612529,0.53,0.029,0,cDC(CD1C),2.877612529,cDC(CD1C),Mye
CLEC10A,0,2.787168269,0.714,0.168,0,cDC(CD1C),2.787168269,cDC(CD1C),Mye
IL1R2,0,1.999035248,0.323,0.073,0,cDC(CD1C),1.999035248,cDC(CD1C),Mye
NDRG2,0,1.795362611,0.545,0.1,0,cDC(CD1C),1.795362611,cDC(CD1C),Mye
HLA-DQB2,0,1.70637772,0.602,0.285,0,cDC(CD1C),1.70637772,cDC(CD1C),Mye
CST7,0,1.580623763,0.456,0.109,0,cDC(CD1C),1.580623763,cDC(CD1C),Mye
PPA1,0,1.55612884,0.804,0.422,0,cDC(CD1C),1.55612884,cDC(CD1C),Mye
PKIB,0,1.48948512,0.628,0.202,0,cDC(CD1C),1.48948512,cDC(CD1C),Mye
APOE,0,2.024185079,0.934,0.437,0,Macro_FOLR2-APOE+,2.024185079,Macro_FOLR2-APOE+,Mye
APOC1,0,1.836488075,0.917,0.44,0,Macro_FOLR2-APOE+,1.836488075,Macro_FOLR2-APOE+,Mye
TREM2,0,1.363859461,0.869,0.331,0,Macro_FOLR2-APOE+,1.363859461,Macro_FOLR2-APOE+,Mye
