gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength,cluster0,celltype
CCL22,0,4.508844361,0.496,0.02,0,cDC3_LAMP3,4.508844361,cDC3_LAMP3,Mye
FSCN1,0,4.390307717,0.804,0.093,0,cDC3_LAMP3,4.390307717,cDC3_LAMP3,Mye
CCL19,0,4.040890425,0.574,0.017,0,cDC3_LAMP3,4.040890425,cDC3_LAMP3,Mye
LAMP3,0,3.688877926,0.789,0.042,0,cDC3_LAMP3,3.688877926,cDC3_LAMP3,Mye
CCR7,0,3.68541506,0.698,0.033,0,cDC3_LAMP3,3.68541506,cDC3_LAMP3,Mye
MARCKSL1,0,3.580571955,0.828,0.248,0,cDC3_LAMP3,3.580571955,cDC3_LAMP3,Mye
CCL17,0,3.299977874,0.382,0.017,0,cDC3_LAMP3,3.299977874,cDC3_LAMP3,Mye
BIRC3,0,3.100029067,0.789,0.205,0,cDC3_LAMP3,3.100029067,cDC3_LAMP3,Mye
CST7,0,2.756557663,0.675,0.128,0,cDC3_LAMP3,2.756557663,cDC3_LAMP3,Mye
EBI3,0,2.588689012,0.606,0.146,0,cDC3_LAMP3,2.588689012,cDC3_LAMP3,Mye
RAMP1,0,2.166201997,0.351,0.021,0,cDC3_LAMP3,2.166201997,cDC3_LAMP3,Mye
IDO1,0,2.086460533,0.655,0.093,0,cDC3_LAMP3,2.086460533,cDC3_LAMP3,Mye
IL7R,0,2.075071534,0.589,0.118,0,cDC3_LAMP3,2.075071534,cDC3_LAMP3,Mye
NCCRP1,0,2.003104309,0.329,0,0,cDC3_LAMP3,2.003104309,cDC3_LAMP3,Mye
IL32,0,1.995764968,0.574,0.118,0,cDC3_LAMP3,1.995764968,cDC3_LAMP3,Mye
LAD1,0,1.914732954,0.529,0.005,0,cDC3_LAMP3,1.914732954,cDC3_LAMP3,Mye
TRAF1,0,1.902953893,0.648,0.117,0,cDC3_LAMP3,1.902953893,cDC3_LAMP3,Mye
DAPP1,0,1.867034523,0.701,0.203,0,cDC3_LAMP3,1.867034523,cDC3_LAMP3,Mye
CRIP1,9.349999999999999e-236,1.832537951,0.633,0.282,1.7199999999999996e-231,cDC3_LAMP3,1.832537951,cDC3_LAMP3,Mye
KIF2A,0,1.827684875,0.59,0.162,0,cDC3_LAMP3,1.827684875,cDC3_LAMP3,Mye
GPR157,0,1.823164516,0.587,0.046,0,cDC3_LAMP3,1.823164516,cDC3_LAMP3,Mye
TBC1D4,0,1.739878957,0.55,0.09,0,cDC3_LAMP3,1.739878957,cDC3_LAMP3,Mye
PPA1,0,1.713870043,0.846,0.449,0,cDC3_LAMP3,1.713870043,cDC3_LAMP3,Mye
CLIC2,0,1.670523855,0.616,0.147,0,cDC3_LAMP3,1.670523855,cDC3_LAMP3,Mye
RAB9A,0,1.63569174,0.633,0.229,0,cDC3_LAMP3,1.63569174,cDC3_LAMP3,Mye
GRSF1,0,1.626224097,0.713,0.328,0,cDC3_LAMP3,1.626224097,cDC3_LAMP3,Mye
RPS27L,6.11e-274,1.542450015,0.693,0.352,1.1300000000000001e-269,cDC3_LAMP3,1.542450015,cDC3_LAMP3,Mye
NUB1,0,1.522422263,0.736,0.3,0,cDC3_LAMP3,1.522422263,cDC3_LAMP3,Mye
DUSP4,0,1.519983403,0.53,0.103,0,cDC3_LAMP3,1.519983403,cDC3_LAMP3,Mye
DUSP5,0,1.501319088,0.539,0.122,0,cDC3_LAMP3,1.501319088,cDC3_LAMP3,Mye
ANXA6,0,1.492245885,0.594,0.213,0,cDC3_LAMP3,1.492245885,cDC3_LAMP3,Mye
CDKN1A,0,1.468515111,0.838,0.515,0,cDC3_LAMP3,1.468515111,cDC3_LAMP3,Mye
