cDC3_LAMP3,cDC_CLEC9A,cDC(CD1C),Macro_FOLR2-APOE+,Macro_FOLR2+APOE-,Macro_FOLR2+APOE+,Macro_IER3,Macro_IFI27,Macro_ISG15,Macro_LYVE1,Macro_NLRP3,Macro_OLFML3,Mast,Mono_CD14,Mono_CD16,Mono_INHBA,pDC_LILRA4
CCL22,C1orf54,CD1C,APOE,SELENOP,GPNMB,CCL4L2,APOC1,CCL2,SELENOP,IL1B,CXCL9,TPSAB1,S100A8,IFITM2,CXCL8,GZMB
FSCN1,IDO1,FCER1A,APOC1,SLC40A1,CCL18,RHOB,APOE,CTSL,FOLR2,EREG,CXCL10,TPSB2,S100A12,MTSS1,CCL20,PTGDS
CCL19,CLEC9A,CD1E,TREM2,FOLR2,SDS,CCL4,C1QC,ISG15,SLC40A1,G0S2,FN1,CPA3,S100A9,TCF7L2,CXCL3,LILRA4
LAMP3,DNASE1L3,CLEC10A,NUPR1,F13A1,PLAU,CCL3L1,C1QA,IFIT1,PLTP,NLRP3,CXCL11,TPSD1,FCN1,GPBAR1,INHBA,TCL1A
CCR7,XCR1,IL1R2,MTRNR2L8,PLTP,CXCL9,TNF,C1QB,CXCL10,RNASE1,THBS1,GBP5,HPGD,VCAN,FCGR3A,IL1B,CLIC3
MARCKSL1,S100B,NDRG2,RNASE1,RNASE1,NR1H3,GADD45B,,APOBEC3A,F13A1,S100A9,GBP1,CLU,CSTA,C19orf38,CCL3L1,SERPINF1
CCL17,CPVL,HLA-DQB2,GPNMB,C1QC,LGMN,IER3,,IFI6,DAB2,CXCL2,GBP4,GATA2,CDA,LILRB2,PTGS2,CYB561A3
BIRC3,WDFY4,CST7,PDK4,C1QA,CCL4,SGK1,,IFIT3,MS4A4A,PLAUR,C3,KIT,LGALS2,LILRA1,IL6,BCL11A
CST7,CPNE3,PPA1,KCNMA1,C1QB,ACP5,C5AR1,,RSAD2,LGMN,S100A8,OLFML3,MS4A2,CFP,FCN1,CXCL2,ITM2C
EBI3,CADM1,PKIB,LPL,CTSZ,C1QB,NR4A2,,OASL,STAB1,VEGFA,ANKRD22,HDC,STXBP2,CD52,CCL3,PLAC8
