LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3,BMYO1,BMYO2,FB1,FB2,FB3,FB4,PV1,PV2,PV3,PV4,PV5,VEV,VEC,VEA,VEAT,LE1,LE2,CD4_naive,CD4_Th,CD8_Tem,CD8_Trm,CD8_Tc1,NKT,NK,ILC,B_naive,B_mem_switched,B_mem_unswitched,Plasma_cell,Macro,Macro-lipo,DC
S100A7,KRTAP2-3,SMS,RECQL,DLGAP5,TMEM45B,ARHGAP40,CP,IRX4,SYT8,CNTN1,CNIH3,PTGFR,PRG4,DCBLD1,LINC01348,CASQ2,ADGRL3,THBS4,ACKR1,AC129507.1,SEMA3G,F2RL3,SEMA3D,AC007998.3,TESPA1,TTC39C-AS1,GZMK,CD8B,AC004832.6,S1PR5,SH2D1B,LINC00299,TCL1A,TNFRSF13B,ZBTB32,IGKC,C1QA,CHIT1,CCL17
SERPINB3,KLK7,CMPK1,ROPN1,MKI67,SDR16C5,AKR7A3,HMGB3,DLK2,TNNI2,ABCA10,AL139393.3,GREM1,MTSS1,AC027031.2,PGAP1,NRIP2,CLSTN2,P2RY14,SELP,CFAP20,ARL15,COLGALT1,B3GNT7,KLHL4,CCR4,CCR4,CMC1,KLRC3,PPP1R2C,KLRF1,TXK,TNFSF4,FCER2,SHISA8,FCRL5,IGKV4-1,C1QC,TM4SF19,CCL22
SLC34A2,SLC25A37,IQCG,FAM3D,AURKB,CACNG4,SRARP,PPP4R4,NRG1,OXTR,MXRA5,MMP3,PAPPA2,PARP16,CPM,CMSS1,RERGL,ECRG4,HIGD1B,TLL1,CD300LG,CLDN14,RFLNB,SNCA,ADD3-AS1,CD40LG,ADAM23,EOMES,KLRC2,IFNG,SH2D1B,CMC1,IL23R,COL19A1,BLK,FCRL3,JCHAIN,C1QB,ATP6V0D2,VMO1
SERPINB4,KRT16,LINC01198,LINC02613,CCNB2,GOLM1,FTO,PCAT18,COL17A1,DST,VEGFD,ARSG,BCHE,SLC2A1,NPTX2,PCSK1,WFDC1,CCL19,VIPR1,SELE,CA4,FAM124B,NQO1,SCN3B,LINC00636,CD28,TNFRSF25,DTHD1,KLRC1,DOK2,NKG7,TRDC,LINC00892,PAX5,BANK1,CD19,MZB1,FCER1G,TREM2,CLEC9A
RARRES1,ANXA11,RPL36,ROPN1B,ASPM,MISP,PARD6G-AS1,ARHGAP36,RNASE7,HSPA4L,CAPN6,C11orf53,WIF1,SERPINB2,TRPC4,SRL,KCNA5,GGT5,AGAP2,NDRG1,AP001037.1,SLC45A4,TSPAN14,OSBP2,SLC24A1,SMCHD1,LINC00892,KLRG1,SLA2,AC016074.2,CD244,KLRF1,TMIGD2,C12orf42,P2RX5,SPIB,IGHA2,FCGR2A,OCSTAMP,PNOC
IGFL1,KRT6B,HADH,CALML5,HJURP,DNAJC12,ALDH3B2,CPB1,HAS3,AC007906.2,SCARA5,GAL,OGN,CEP152,ADRA2C,GPAT2,SLC38A11,HAS2,FFAR2,CSF2RB,BTNL9,GJA5,ESM1,MSMP,IL7,LINC00892,TRAV8-2,GZMA,GRAP2,ZNF683,CMC1,MCTP2,MVB12B,LINC00926,STAP1,PAX5,IGHG4,CREG1,LINC02244,GPR157
ADGRF1,SDCBP2,RPS19,AQP5,SPC25,EEF1A2,SLC26A3,SERPINA1,LAMA3,CRISPLD1,DNM1,SDK1,LTBP1,MFAP5,CNR1,NDUFS2,KCNAB1,LINC00924,SYP,TACR1,KRBA2,SOS1,FAM167B,SIN3B,STAB2,ADAM23,CD40LG,LYST,KLRC4,KCNA3,KIR2DL4,TMIGD2,AL136456.1,FCRL3,SCIMP,LINC01857,IGHG2,NPL,APOC2,FLT3
C1QL2,PPP1R14C,C5orf46,CRABP1,CENPF,MRPS10,TFAP2B,SCGB1D2,FHOD3,IL17B,COL1A1,KDM7A-DT,SFRP4,SLC22A3,CTSC,OPA3,PRPH,PAPPA2,RGS5,OLFM1,TNMD,FAM107A,TNPO1,MMRN1,NFIA-AS2,TRAT1,MYBL1,TIGIT,KLRK1,GPR18,KIR3DL2,TRGV9,OTUD5,CD19,LINC01857,SCIMP,IGHA1,IL10,LINC02384,LAMP3
LCN2,SLC5A1,SNHG29,ELF5,DEPDC1,TMC5,KIF12,CA2,LINC01589,PTPRZ1,PDGFD,SLC12A8,CLU,RSAD2,OLFM2,UCN,NRGN,ARHGAP1,FAM162B,AC007681.1,SCARB1,PLLP,SLC12A7,SEMA3A,TBX1,GNAO1,ZC3H12D,SH2D1A,KLRD1,LINC00861,FGFBP2,ADGRG3,XCL2,LINC02397,GNG7,AC104024.1,IGHG1,PLEK,TNFSF15,CFP
FDCSP,RBPMS-AS1,RPS18,KRT6A,TOP2A,TMEM106B,ERBB4,CIB1,MGARP,TP63,ABCA9,LYPLAL1-AS1,AC008780.1,CRLF1,SGIP1,BEX1,HAPLN2,SORBS3,COL23A1,LCN6,FAM110D,BMX,ADAMTS7,UNC5B-AS1,DPEP2,TNFSF8,CCR6,GZMM,LINC02446,LINC00649,GZMA,GZMA,AC092617.1,CD79A,MS4A1,BLK,IGHG3,IL1B,PLA2G2D,GCSAM
