cluster,gene,cluster0,celltype
B_mem_switched,TNFRSF13B,B_mem_switched,B
B_mem_switched,SHISA8,B_mem_switched,B
B_mem_switched,BLK,B_mem_switched,B
B_mem_switched,BANK1,B_mem_switched,B
B_mem_switched,P2RX5,B_mem_switched,B
B_mem_switched,STAP1,B_mem_switched,B
B_mem_switched,SCIMP,B_mem_switched,B
B_mem_switched,LINC01857,B_mem_switched,B
B_mem_switched,GNG7,B_mem_switched,B
B_mem_switched,MS4A1,B_mem_switched,B
B_mem_switched,TNFRSF13C,B_mem_switched,B
B_mem_switched,CD19,B_mem_switched,B
B_mem_switched,LINC00926,B_mem_switched,B
B_mem_switched,CD79A,B_mem_switched,B
B_mem_switched,LINC00426,B_mem_switched,B
B_mem_switched,PAX5,B_mem_switched,B
B_mem_switched,LINC02397,B_mem_switched,B
B_mem_switched,BCL11A,B_mem_switched,B
B_mem_switched,AIM2,B_mem_switched,B
B_mem_switched,ADAM28,B_mem_switched,B
B_mem_switched,BTLA,B_mem_switched,B
B_mem_switched,CXCR5,B_mem_switched,B
B_mem_switched,FCER2,B_mem_switched,B
B_mem_switched,DNAJC5B,B_mem_switched,B
B_mem_switched,PARP15,B_mem_switched,B
B_mem_switched,C12orf42,B_mem_switched,B
B_mem_switched,FAM30A,B_mem_switched,B
B_mem_switched,CD70,B_mem_switched,B
B_mem_switched,LY9,B_mem_switched,B
B_mem_switched,KDM4B,B_mem_switched,B
B_mem_switched,FGD2,B_mem_switched,B
B_mem_switched,PRDM2,B_mem_switched,B
B_mem_switched,CD72,B_mem_switched,B
B_mem_switched,SIT1,B_mem_switched,B
B_mem_switched,POU2AF1,B_mem_switched,B
B_mem_switched,CYBB,B_mem_switched,B
B_mem_switched,SEL1L3,B_mem_switched,B
B_mem_switched,SPIB,B_mem_switched,B
B_mem_switched,ITGAE,B_mem_switched,B
B_mem_switched,WDFY4,B_mem_switched,B
B_mem_switched,MARCH1,B_mem_switched,B
B_mem_switched,AC024560.5,B_mem_switched,B
B_mem_switched,AMN,B_mem_switched,B
B_mem_switched,BAIAP3,B_mem_switched,B
B_mem_switched,KLK1,B_mem_switched,B
B_mem_switched,PIKFYVE,B_mem_switched,B
B_mem_switched,LY86,B_mem_switched,B
B_mem_switched,CD22,B_mem_switched,B
B_mem_switched,EHMT1,B_mem_switched,B
B_mem_switched,GRAMD1C,B_mem_switched,B
B_mem_switched,CLECL1,B_mem_switched,B
B_mem_switched,NCF4,B_mem_switched,B
B_mem_switched,IGHG4,B_mem_switched,B
B_mem_switched,LINC01215,B_mem_switched,B
B_mem_switched,HSH2D,B_mem_switched,B
B_mem_switched,POU2F2,B_mem_switched,B
B_mem_switched,FCRL3,B_mem_switched,B
B_mem_switched,TBXAS1,B_mem_switched,B
B_mem_switched,RCN2,B_mem_switched,B
B_mem_switched,AP001059.3,B_mem_switched,B
B_mem_switched,ACP5,B_mem_switched,B
B_mem_switched,NIN,B_mem_switched,B
B_mem_switched,AC073111.4,B_mem_switched,B
B_mem_switched,TMED8,B_mem_switched,B
B_mem_switched,IZUMO4,B_mem_switched,B
B_mem_switched,TMC8,B_mem_switched,B
B_mem_switched,ZBTB32,B_mem_switched,B
B_mem_switched,SLC37A1,B_mem_switched,B
B_mem_switched,AP1S3,B_mem_switched,B
B_mem_switched,ISCU,B_mem_switched,B
B_mem_switched,CD37,B_mem_switched,B
B_mem_switched,PRDM4,B_mem_switched,B
B_mem_switched,INPP5A,B_mem_switched,B
B_mem_switched,TMEM156,B_mem_switched,B
B_mem_switched,ORAI2,B_mem_switched,B
B_mem_switched,STAG3,B_mem_switched,B
B_mem_switched,PHF6,B_mem_switched,B
B_mem_switched,SESN3,B_mem_switched,B
B_mem_switched,NRROS,B_mem_switched,B
B_mem_switched,PPFIBP2,B_mem_switched,B
B_mem_switched,BTK,B_mem_switched,B
B_mem_switched,NFKBID,B_mem_switched,B
B_mem_switched,HLA-DMB,B_mem_switched,B
B_mem_switched,RUBCN,B_mem_switched,B
B_mem_switched,HAGHL,B_mem_switched,B
B_mem_switched,JADE2,B_mem_switched,B
B_mem_switched,IRF5,B_mem_switched,B
B_mem_switched,GRK3,B_mem_switched,B
B_mem_switched,ANKRD44,B_mem_switched,B
B_mem_switched,RBM26,B_mem_switched,B
B_mem_switched,ICAM3,B_mem_switched,B
B_mem_switched,CORO1A,B_mem_switched,B
B_mem_switched,DRAM2,B_mem_switched,B
B_mem_switched,TSPAN33,B_mem_switched,B
B_mem_switched,MAPK8IP3,B_mem_switched,B
B_mem_switched,TFEB,B_mem_switched,B
B_mem_switched,FBXO10,B_mem_switched,B
B_mem_switched,RPS11,B_mem_switched,B
B_mem_switched,UPF2,B_mem_switched,B
B_mem_switched,SYNGR2,B_mem_switched,B
B_mem_unswitched,ZBTB32,B_mem_unswitched,B
B_mem_unswitched,FCRL5,B_mem_unswitched,B
B_mem_unswitched,FCRL3,B_mem_unswitched,B
