cluster,gene,cluster0,celltype
LE1,SEMA3D,LE1,Endo
LE1,B3GNT7,LE1,Endo
LE1,SNCA,LE1,Endo
LE1,SCN3B,LE1,Endo
LE1,OSBP2,LE1,Endo
LE1,MSMP,LE1,Endo
LE1,SIN3B,LE1,Endo
LE1,MMRN1,LE1,Endo
LE1,SEMA3A,LE1,Endo
LE1,UNC5B-AS1,LE1,Endo
LE1,PKHD1L1,LE1,Endo
LE1,PCSK6,LE1,Endo
LE1,PPFIBP1,LE1,Endo
LE1,TCFL5,LE1,Endo
LE1,PLA1A,LE1,Endo
LE1,STK32B,LE1,Endo
LE1,TMEM120A,LE1,Endo
LE1,C16orf87,LE1,Endo
LE1,NINL,LE1,Endo
LE1,AZIN2,LE1,Endo
LE1,TTN,LE1,Endo
LE1,C1orf143,LE1,Endo
LE1,NARF,LE1,Endo
LE1,MRC1,LE1,Endo
LE1,FAM174B,LE1,Endo
LE1,STAB2,LE1,Endo
LE1,ZDHHC14,LE1,Endo
LE1,ANKRD1,LE1,Endo
LE1,TNFAIP8L3,LE1,Endo
LE1,VPS35L,LE1,Endo
LE1,LRRC15,LE1,Endo
LE1,LYVE1,LE1,Endo
LE1,EGLN3,LE1,Endo
LE1,CNKSR3,LE1,Endo
LE1,GPRC5B,LE1,Endo
LE1,NOD2,LE1,Endo
LE1,PROX1,LE1,Endo
LE1,P4HA3,LE1,Endo
LE1,AC017104.1,LE1,Endo
LE1,CHRDL2,LE1,Endo
LE1,ZFPM2,LE1,Endo
LE1,NBN,LE1,Endo
LE1,RASGRP3,LE1,Endo
LE1,NEO1,LE1,Endo
LE1,NHSL1,LE1,Endo
LE1,ARL4A,LE1,Endo
LE1,ACKR2,LE1,Endo
LE1,KBTBD11,LE1,Endo
LE1,ADD3-AS1,LE1,Endo
LE1,TGFB2,LE1,Endo
LE1,IRF8,LE1,Endo
LE1,CCDC141,LE1,Endo
LE1,DTX1,LE1,Endo
LE1,DHODH,LE1,Endo
LE1,RAB32,LE1,Endo
LE1,NXN,LE1,Endo
LE1,NPEPPS,LE1,Endo
LE1,PSEN2,LE1,Endo
LE1,BAALC,LE1,Endo
LE1,BICD1,LE1,Endo
LE1,NFATC1,LE1,Endo
LE1,PRKCZ,LE1,Endo
LE1,EXOC6,LE1,Endo
LE1,FAM171A1,LE1,Endo
LE1,MYCN,LE1,Endo
LE1,GOPC,LE1,Endo
LE1,NTAN1,LE1,Endo
LE1,NFAT5,LE1,Endo
LE1,NFIA-AS2,LE1,Endo
LE1,SLC41A1,LE1,Endo
LE1,ZNF704,LE1,Endo
LE1,PIEZO2,LE1,Endo
LE1,SMAGP,LE1,Endo
LE1,IQCK,LE1,Endo
LE1,SEPHS1,LE1,Endo
LE1,BMP2K,LE1,Endo
LE1,KLF6,LE1,Endo
LE1,SMC4,LE1,Endo
LE1,LATS2,LE1,Endo
LE1,KLHL4,LE1,Endo
LE1,RAI14,LE1,Endo
LE1,AL121839.2,LE1,Endo
LE1,SH3BGRL2,LE1,Endo
LE1,LINC00636,LE1,Endo
LE1,HHEX,LE1,Endo
LE1,STMN1,LE1,Endo
LE1,FLRT2,LE1,Endo
LE1,STOX2,LE1,Endo
LE1,LINC01985,LE1,Endo
LE1,SNTG2,LE1,Endo
LE1,SIRPA,LE1,Endo
LE1,GLIS3,LE1,Endo
LE1,NANP,LE1,Endo
LE1,SLC7A1,LE1,Endo
LE1,CYLD,LE1,Endo
LE1,HEY1,LE1,Endo
LE1,ZNF71,LE1,Endo
LE1,C6orf141,LE1,Endo
LE1,PGM2L1,LE1,Endo
LE1,PAQR3,LE1,Endo
LE2,AC007998.3,LE2,Endo
LE2,KLHL4,LE2,Endo
LE2,ADD3-AS1,LE2,Endo
LE2,LINC00636,LE2,Endo
LE2,SLC24A1,LE2,Endo
LE2,IL7,LE2,Endo
LE2,STAB2,LE2,Endo
LE2,NFIA-AS2,LE2,Endo
LE2,TBX1,LE2,Endo
LE2,DPEP2,LE2,Endo
LE2,KBTBD11,LE2,Endo
LE2,LYVE1,LE2,Endo
LE2,ADGRG3,LE2,Endo
LE2,PKHD1L1,LE2,Endo
LE2,MRC1,LE2,Endo
LE2,PROX1,LE2,Endo
LE2,ART4,LE2,Endo
LE2,CRTAC1,LE2,Endo
LE2,MMRN1,LE2,Endo
LE2,CCL21,LE2,Endo
LE2,C1orf143,LE2,Endo
LE2,GPM6A,LE2,Endo
LE2,EFCC1,LE2,Endo
LE2,SLC26A4,LE2,Endo
LE2,FLT4,LE2,Endo
LE2,DMTN,LE2,Endo
LE2,VPS35L,LE2,Endo
LE2,GUSB,LE2,Endo
LE2,ATP5F1E,LE2,Endo
LE2,PGM5-AS1,LE2,Endo
LE2,ASGR1,LE2,Endo
LE2,SLCO2B1,LE2,Endo
LE2,IARS2,LE2,Endo
LE2,TSTA3,LE2,Endo
LE2,SCNN1B,LE2,Endo
LE2,SEMA3A,LE2,Endo
LE2,CCDC141,LE2,Endo
LE2,SRGAP3,LE2,Endo
LE2,C20orf204,LE2,Endo
LE2,PALD1,LE2,Endo
LE2,ACKR2,LE2,Endo
LE2,SCN3A,LE2,Endo
LE2,GJC2,LE2,Endo
LE2,MPP7,LE2,Endo
LE2,POLR2L,LE2,Endo
LE2,REEP1,LE2,Endo
LE2,LINC01985,LE2,Endo
LE2,PEPD,LE2,Endo
LE2,MYCN,LE2,Endo
LE2,EFEMP1,LE2,Endo
LE2,PLSCR4,LE2,Endo
LE2,SLC16A11,LE2,Endo
LE2,SMYD2,LE2,Endo
LE2,TRDC,LE2,Endo
LE2,RAB11A,LE2,Endo
LE2,F8,LE2,Endo
LE2,EXOC3L1,LE2,Endo
LE2,RAMP2,LE2,Endo
LE2,HYAL2,LE2,Endo
LE2,TRMT9B,LE2,Endo
LE2,PRKAR1B,LE2,Endo
LE2,NTS,LE2,Endo
LE2,KANK3,LE2,Endo
LE2,MEGF6,LE2,Endo
LE2,ECSCR,LE2,Endo
LE2,TSPAN18,LE2,Endo
LE2,SNCG,LE2,Endo
LE2,PLIN5,LE2,Endo
LE2,ADAMTS6,LE2,Endo
LE2,PGM5,LE2,Endo
LE2,LRMDA,LE2,Endo
LE2,ZNF467,LE2,Endo
LE2,STXBP6,LE2,Endo
LE2,MSMP,LE2,Endo
LE2,TRIOBP,LE2,Endo
LE2,BTBD3,LE2,Endo
LE2,STON2,LE2,Endo
LE2,NT5E,LE2,Endo
LE2,BCL7C,LE2,Endo
LE2,SHC1,LE2,Endo
LE2,RELN,LE2,Endo
LE2,WFS1,LE2,Endo
LE2,LINC01116,LE2,Endo
LE2,ITGA9,LE2,Endo
LE2,SELENON,LE2,Endo
LE2,PARD6G,LE2,Endo
LE2,THEM6,LE2,Endo
LE2,CAVIN2,LE2,Endo
LE2,AGFG2,LE2,Endo
LE2,S100A10,LE2,Endo
LE2,KCTD17,LE2,Endo
LE2,HRCT1,LE2,Endo
LE2,CPNE5,LE2,Endo
LE2,RASSF9,LE2,Endo
LE2,SCN3B,LE2,Endo
LE2,DIPK2B,LE2,Endo
LE2,SLC27A3,LE2,Endo
LE2,DPP4,LE2,Endo
LE2,PALM,LE2,Endo
LE2,SNX2,LE2,Endo
VEA,SEMA3G,VEA,Endo
VEA,ARL15,VEA,Endo
VEA,CLDN14,VEA,Endo
VEA,FAM124B,VEA,Endo
VEA,SLC45A4,VEA,Endo
VEA,GJA5,VEA,Endo
VEA,SOS1,VEA,Endo
VEA,FAM107A,VEA,Endo
VEA,PLLP,VEA,Endo
VEA,BMX,VEA,Endo
VEA,KCNJ2,VEA,Endo
VEA,AC004889.1,VEA,Endo
VEA,VEGFC,VEA,Endo
VEA,IGFBP3,VEA,Endo
VEA,ICAM2,VEA,Endo
VEA,TSPAN2,VEA,Endo
VEA,GABARAPL2,VEA,Endo
VEA,MMP28,VEA,Endo
VEA,LTC4S,VEA,Endo
VEA,ACE,VEA,Endo
VEA,RPS6KA5,VEA,Endo
VEA,SRP14,VEA,Endo
VEA,SNHG11,VEA,Endo
VEA,PCSK5,VEA,Endo
VEA,CDA,VEA,Endo
VEA,MYRIP,VEA,Endo
VEA,GRPEL2,VEA,Endo
VEA,IFI44L,VEA,Endo
VEA,SYT1,VEA,Endo
VEA,CTTNBP2NL,VEA,Endo
VEA,TOX2,VEA,Endo
VEA,GMNN,VEA,Endo
VEA,HEY1,VEA,Endo
VEA,CAPZA2,VEA,Endo
VEA,KCTD12,VEA,Endo
VEA,SWAP70,VEA,Endo
VEA,THSD7A,VEA,Endo
VEA,GIPC2,VEA,Endo
VEA,IFI6,VEA,Endo
VEA,PELI1,VEA,Endo
VEA,DIPK1B,VEA,Endo
VEA,CLEC14A,VEA,Endo
VEA,ADIPOR2,VEA,Endo
VEA,ENPP2,VEA,Endo
VEA,MMRN2,VEA,Endo
VEA,PLPP1,VEA,Endo
VEA,RNASE1,VEA,Endo
VEA,DEPP1,VEA,Endo
VEA,KIAA0355,VEA,Endo
VEA,DKK2,VEA,Endo
VEA,RPGR,VEA,Endo
VEA,CCDC85A,VEA,Endo
VEA,SOX17,VEA,Endo
VEA,RAMP2,VEA,Endo
VEA,PIK3R3,VEA,Endo
VEA,CYYR1,VEA,Endo
VEA,TM6SF1,VEA,Endo
VEA,MAST4,VEA,Endo
VEA,RHOB,VEA,Endo
VEA,SYNJ2,VEA,Endo
VEA,PALMD,VEA,Endo
VEA,JAG2,VEA,Endo
VEA,PPM1D,VEA,Endo
VEA,MCTP1,VEA,Endo
VEA,ARID5A,VEA,Endo
VEA,STK38L,VEA,Endo
VEA,PLCB4,VEA,Endo
VEA,SULF1,VEA,Endo
VEA,LPCAT2,VEA,Endo
VEA,PIK3C2B,VEA,Endo
VEA,PNP,VEA,Endo
VEA,RASGRF2,VEA,Endo
VEA,FAM135A,VEA,Endo
VEA,RALB,VEA,Endo
VEA,EGFL8,VEA,Endo
VEA,NOS3,VEA,Endo
VEA,CCL8,VEA,Endo
VEA,CD55,VEA,Endo
VEA,DOCK9,VEA,Endo
VEA,SLC9A3R2,VEA,Endo
VEA,FAM90A1,VEA,Endo
VEA,ITPRID2,VEA,Endo
VEA,PTPRM,VEA,Endo
VEA,ASRGL1,VEA,Endo
VEA,KCNN3,VEA,Endo
VEA,XAF1,VEA,Endo
VEA,AL109741.1,VEA,Endo
VEA,MRPL33,VEA,Endo
VEA,TIFA,VEA,Endo
VEA,ABLIM3,VEA,Endo
VEA,TEK,VEA,Endo
VEA,EFNB2,VEA,Endo
VEA,PTPRB,VEA,Endo
VEA,FES,VEA,Endo
VEA,GPIHBP1,VEA,Endo
VEA,IRAK2,VEA,Endo
VEA,ARL2BP,VEA,Endo
VEA,CDC42BPA,VEA,Endo
VEA,ARPC5L,VEA,Endo
VEA,NEDD9,VEA,Endo
VEAT,F2RL3,VEAT,Endo
VEAT,COLGALT1,VEAT,Endo
VEAT,RFLNB,VEAT,Endo
VEAT,NQO1,VEAT,Endo
VEAT,TSPAN14,VEAT,Endo
VEAT,ESM1,VEAT,Endo
VEAT,FAM167B,VEAT,Endo
VEAT,TNPO1,VEAT,Endo
VEAT,SLC12A7,VEAT,Endo
VEAT,ADAMTS7,VEAT,Endo
VEAT,GBE1,VEAT,Endo
VEAT,ENG,VEAT,Endo
VEAT,MCF2L,VEAT,Endo
VEAT,SEC14L1,VEAT,Endo
VEAT,PXDN,VEAT,Endo
VEAT,EFNB1,VEAT,Endo
VEAT,SHANK3,VEAT,Endo
VEAT,SQSTM1,VEAT,Endo
VEAT,PDCL,VEAT,Endo
VEAT,ABLIM2,VEAT,Endo
VEAT,SMAD6,VEAT,Endo
VEAT,PLVAP,VEAT,Endo
VEAT,TMEM255B,VEAT,Endo
VEAT,PRXL2A,VEAT,Endo
VEAT,JDP2,VEAT,Endo
VEAT,GRAP,VEAT,Endo
VEAT,TNFAIP8L1,VEAT,Endo
VEAT,KDR,VEAT,Endo
VEAT,PDE2A,VEAT,Endo
VEAT,KCNN2,VEAT,Endo
VEAT,EDC3,VEAT,Endo
VEAT,KCNJ15,VEAT,Endo
VEAT,ANKRD11,VEAT,Endo
VEAT,CPLX1,VEAT,Endo
VEAT,SMAD1,VEAT,Endo
VEAT,SEMA3F,VEAT,Endo
VEAT,DOCK6,VEAT,Endo
VEAT,TP53I11,VEAT,Endo
VEAT,MAPKAPK5-AS1,VEAT,Endo
VEAT,C2CD2,VEAT,Endo
VEAT,NDST1,VEAT,Endo
VEAT,VWA1,VEAT,Endo
VEAT,SIN3B,VEAT,Endo
VEAT,AFAP1L1,VEAT,Endo
VEAT,TM4SF18,VEAT,Endo
VEAT,ZSCAN31,VEAT,Endo
VEAT,NAV1,VEAT,Endo
VEAT,RASSF2,VEAT,Endo
VEAT,ZNF366,VEAT,Endo
VEAT,RASIP1,VEAT,Endo
VEAT,LXN,VEAT,Endo
VEAT,NR5A2,VEAT,Endo
VEAT,ZNF71,VEAT,Endo
VEAT,PIR,VEAT,Endo
VEAT,IL3RA,VEAT,Endo
VEAT,CDC37,VEAT,Endo
VEAT,ARRB1,VEAT,Endo
VEAT,CMTM8,VEAT,Endo
VEAT,UBE2J1,VEAT,Endo
VEAT,MLEC,VEAT,Endo
VEAT,BCL6B,VEAT,Endo
VEAT,GALNT18,VEAT,Endo
VEAT,ST6GALNAC3,VEAT,Endo
VEAT,SOX18,VEAT,Endo
VEAT,LNX1,VEAT,Endo
VEAT,PLXNA2,VEAT,Endo
VEAT,TUBA1B,VEAT,Endo
VEAT,HOXB6,VEAT,Endo
VEAT,ANGPTL2,VEAT,Endo
VEAT,TAOK2,VEAT,Endo
VEAT,SH3TC1,VEAT,Endo
VEAT,OSGIN1,VEAT,Endo
VEAT,MAPK12,VEAT,Endo
VEAT,CDH13,VEAT,Endo
VEAT,ARPC1B,VEAT,Endo
VEAT,KIFC3,VEAT,Endo
VEAT,HLA-A,VEAT,Endo
VEAT,ATP11A,VEAT,Endo
VEAT,GSDMD,VEAT,Endo
VEAT,DOCK9,VEAT,Endo
VEAT,RAB12,VEAT,Endo
VEAT,TMCC2,VEAT,Endo
VEAT,SEMA6B,VEAT,Endo
VEAT,ANGPT2,VEAT,Endo
VEAT,CLDN23,VEAT,Endo
VEAT,MGST2,VEAT,Endo
VEAT,GSR,VEAT,Endo
VEAT,PDGFB,VEAT,Endo
VEAT,ECE1,VEAT,Endo
VEAT,DYSF,VEAT,Endo
VEAT,TSHZ1,VEAT,Endo
VEAT,EID3,VEAT,Endo
VEAT,CALCRL,VEAT,Endo
VEAT,ZC3H12C,VEAT,Endo
VEAT,RASGRF2,VEAT,Endo
VEAT,EPHX1,VEAT,Endo
VEAT,ARHGDIA,VEAT,Endo
VEAT,MECOM,VEAT,Endo
VEAT,CYP1A1,VEAT,Endo
VEAT,GRPEL2,VEAT,Endo
VEC,AC129507.1,VEC,Endo
VEC,CFAP20,VEC,Endo
VEC,CD300LG,VEC,Endo
VEC,CA4,VEC,Endo
VEC,AP001037.1,VEC,Endo
VEC,BTNL9,VEC,Endo
VEC,KRBA2,VEC,Endo
VEC,TNMD,VEC,Endo
VEC,SCARB1,VEC,Endo
VEC,FAM110D,VEC,Endo
VEC,AQP1,VEC,Endo
VEC,TMEM70,VEC,Endo
VEC,LRG1,VEC,Endo
VEC,RBP7,VEC,Endo
VEC,AC064836.3,VEC,Endo
VEC,LIPE,VEC,Endo
VEC,NSUN6,VEC,Endo
VEC,KIF25,VEC,Endo
VEC,GPIHBP1,VEC,Endo
VEC,TRIM16,VEC,Endo
VEC,NOSTRIN,VEC,Endo
VEC,FAM72A,VEC,Endo
VEC,ELOVL3,VEC,Endo
VEC,SENCR,VEC,Endo
VEC,CPNE8-AS1,VEC,Endo
VEC,CDC27,VEC,Endo
VEC,HDDC3,VEC,Endo
VEC,MLKL,VEC,Endo
VEC,B3GNT5,VEC,Endo
VEC,ELOC,VEC,Endo
VEC,TMEM88,VEC,Endo
VEC,SNAI1,VEC,Endo
VEC,ERI1,VEC,Endo
VEC,ANAPC13,VEC,Endo
VEC,C9orf40,VEC,Endo
VEC,HOXB4,VEC,Endo
VEC,SCN4A,VEC,Endo
VEC,AC010524.1,VEC,Endo
VEC,MCF2L2,VEC,Endo
VEC,PATL2,VEC,Endo
VEC,AL583785.1,VEC,Endo
VEC,AC104506.1,VEC,Endo
VEC,RAPGEF3,VEC,Endo
VEC,CCDC178,VEC,Endo
VEC,HOXB3,VEC,Endo
VEC,AC083855.2,VEC,Endo
VEC,DDX23,VEC,Endo
VEC,HBEGF,VEC,Endo
VEC,RND1,VEC,Endo
VEC,PIK3R3,VEC,Endo
VEC,TMEM44-AS1,VEC,Endo
VEC,PCDH17,VEC,Endo
VEC,HECW2,VEC,Endo
VEC,SOCS3,VEC,Endo
VEC,RUNDC3B,VEC,Endo
VEC,CCDC85A,VEC,Endo
VEC,LIFR,VEC,Endo
VEC,CASKIN2,VEC,Endo
VEC,KBTBD2,VEC,Endo
VEC,LPAR6,VEC,Endo
VEC,BST2,VEC,Endo
VEC,AQP7,VEC,Endo
VEC,GPR146,VEC,Endo
VEC,TNFSF9,VEC,Endo
VEC,SSH1,VEC,Endo
VEC,CACHD1,VEC,Endo
VEC,SOX7,VEC,Endo
VEC,LUZP1,VEC,Endo
VEC,CYTL1,VEC,Endo
VEC,TIFA,VEC,Endo
VEC,GASAL1,VEC,Endo
VEC,ADRB2,VEC,Endo
VEC,ZNF608,VEC,Endo
VEC,GATA2,VEC,Endo
VEC,LINC00884,VEC,Endo
VEC,CD36,VEC,Endo
VEC,PALMD,VEC,Endo
VEC,AC083862.3,VEC,Endo
VEC,CD34,VEC,Endo
VEC,ACACB,VEC,Endo
VEC,TRIM25,VEC,Endo
VEC,TPO,VEC,Endo
VEC,GJA1,VEC,Endo
VEC,AC008875.3,VEC,Endo
VEC,TNFRSF10D,VEC,Endo
VEC,TLR4,VEC,Endo
VEC,KIAA1211L,VEC,Endo
VEC,PPM1D,VEC,Endo
VEC,NOTCH4,VEC,Endo
VEC,RALGDS,VEC,Endo
VEC,AC073352.2,VEC,Endo
VEC,DLL4,VEC,Endo
VEC,CD3EAP,VEC,Endo
VEC,RAPGEF4,VEC,Endo
VEC,DEDD,VEC,Endo
VEC,HOXD1,VEC,Endo
VEC,AL109741.1,VEC,Endo
VEC,ASXL1,VEC,Endo
VEC,TBC1D30,VEC,Endo
VEC,BMPR2,VEC,Endo
VEV,ACKR1,VEV,Endo
VEV,SELP,VEV,Endo
VEV,TLL1,VEV,Endo
VEV,SELE,VEV,Endo
VEV,NDRG1,VEV,Endo
VEV,CSF2RB,VEV,Endo
VEV,TACR1,VEV,Endo
VEV,OLFM1,VEV,Endo
VEV,AC007681.1,VEV,Endo
VEV,LCN6,VEV,Endo
VEV,MMP1,VEV,Endo
VEV,PRCP,VEV,Endo
VEV,ELOVL7,VEV,Endo
VEV,TNFRSF6B,VEV,Endo
VEV,MED24,VEV,Endo
VEV,ASPH,VEV,Endo
VEV,SLCO4A1,VEV,Endo
VEV,FAR2,VEV,Endo
VEV,PCDH1,VEV,Endo
VEV,MEOX1,VEV,Endo
VEV,CSF3,VEV,Endo
VEV,PDIA5,VEV,Endo
VEV,ZNF385D,VEV,Endo
VEV,IQCA1,VEV,Endo
VEV,TMEM273,VEV,Endo
VEV,RAPGEF5,VEV,Endo
VEV,LCN10,VEV,Endo
VEV,HOXB9,VEV,Endo
VEV,TSPAN7,VEV,Endo
VEV,TMCC2,VEV,Endo
VEV,SHROOM4,VEV,Endo
VEV,ARHGAP31,VEV,Endo
VEV,LRRC1,VEV,Endo
VEV,AC110611.2,VEV,Endo
VEV,CLDN15,VEV,Endo
VEV,MSN,VEV,Endo
VEV,TNPO1,VEV,Endo
VEV,NEURL1B,VEV,Endo
VEV,MAPK11,VEV,Endo
VEV,RAI14,VEV,Endo
VEV,AQP1,VEV,Endo
VEV,PRXL2B,VEV,Endo
VEV,STARD8,VEV,Endo
VEV,ADSS,VEV,Endo
VEV,TPM3,VEV,Endo
VEV,ATP1A1,VEV,Endo
VEV,SCARF1,VEV,Endo
VEV,CCL14,VEV,Endo
VEV,RAMP3,VEV,Endo
VEV,LPCAT4,VEV,Endo
VEV,NOS3,VEV,Endo
VEV,SLC9B2,VEV,Endo
VEV,STARD4,VEV,Endo
VEV,HLA-E,VEV,Endo
VEV,ENG,VEV,Endo
VEV,C2CD2,VEV,Endo
VEV,CCDC69,VEV,Endo
VEV,UPP1,VEV,Endo
VEV,MAP3K11,VEV,Endo
VEV,TNFRSF14,VEV,Endo
VEV,RALGAPA2,VEV,Endo
VEV,SPAG9,VEV,Endo
VEV,VWF,VEV,Endo
VEV,ACKR3,VEV,Endo
VEV,FAM160A2,VEV,Endo
VEV,DOC2B,VEV,Endo
VEV,COL15A1,VEV,Endo
VEV,ECE1,VEV,Endo
VEV,KCNN2,VEV,Endo
VEV,CDC37,VEV,Endo
VEV,AGAP3,VEV,Endo
VEV,SERPINE1,VEV,Endo
VEV,ADAMTS9,VEV,Endo
VEV,SQSTM1,VEV,Endo
VEV,RAPGEF4,VEV,Endo
VEV,TBC1D2,VEV,Endo
VEV,ST3GAL6,VEV,Endo
VEV,CNKSR3,VEV,Endo
VEV,JAG1,VEV,Endo
VEV,TSHZ1,VEV,Endo
VEV,KITLG,VEV,Endo
VEV,CPXM2,VEV,Endo
VEV,KLF7,VEV,Endo
VEV,ARPC1B,VEV,Endo
VEV,FOXF1,VEV,Endo
VEV,GIT1,VEV,Endo
VEV,PRSS23,VEV,Endo
VEV,MIER2,VEV,Endo
VEV,EHD4,VEV,Endo
VEV,EPB41L4A,VEV,Endo
VEV,HIPK3,VEV,Endo
VEV,ABI3,VEV,Endo
VEV,SLC12A6,VEV,Endo
VEV,FGD5,VEV,Endo
VEV,GFOD1,VEV,Endo
VEV,PLVAP,VEV,Endo
VEV,EVA1C,VEV,Endo
VEV,PDE10A,VEV,Endo
VEV,FBXO31,VEV,Endo
VEV,AK1,VEV,Endo
