LE1,LE2,VEA,VEAT,VEC,VEV
SEMA3D,AC007998.3,SEMA3G,F2RL3,AC129507.1,ACKR1
B3GNT7,KLHL4,ARL15,COLGALT1,CFAP20,SELP
SNCA,ADD3-AS1,CLDN14,RFLNB,CD300LG,TLL1
SCN3B,LINC00636,FAM124B,NQO1,CA4,SELE
OSBP2,SLC24A1,SLC45A4,TSPAN14,AP001037.1,NDRG1
MSMP,IL7,GJA5,ESM1,BTNL9,CSF2RB
SIN3B,STAB2,SOS1,FAM167B,KRBA2,TACR1
MMRN1,NFIA-AS2,FAM107A,TNPO1,TNMD,OLFM1
SEMA3A,TBX1,PLLP,SLC12A7,SCARB1,AC007681.1
UNC5B-AS1,DPEP2,BMX,ADAMTS7,FAM110D,LCN6
PKHD1L1,KBTBD11,KCNJ2,GBE1,AQP1,MMP1
PCSK6,LYVE1,AC004889.1,ENG,TMEM70,PRCP
PPFIBP1,ADGRG3,VEGFC,MCF2L,LRG1,ELOVL7
TCFL5,PKHD1L1,IGFBP3,SEC14L1,RBP7,TNFRSF6B
PLA1A,MRC1,ICAM2,PXDN,AC064836.3,MED24
STK32B,PROX1,TSPAN2,EFNB1,LIPE,ASPH
TMEM120A,ART4,GABARAPL2,SHANK3,NSUN6,SLCO4A1
C16orf87,CRTAC1,MMP28,SQSTM1,KIF25,FAR2
NINL,MMRN1,LTC4S,PDCL,GPIHBP1,PCDH1
AZIN2,CCL21,ACE,ABLIM2,TRIM16,MEOX1
TTN,C1orf143,RPS6KA5,SMAD6,NOSTRIN,CSF3
C1orf143,GPM6A,SRP14,PLVAP,FAM72A,PDIA5
NARF,EFCC1,SNHG11,TMEM255B,ELOVL3,ZNF385D
MRC1,SLC26A4,PCSK5,PRXL2A,SENCR,IQCA1
FAM174B,FLT4,CDA,JDP2,CPNE8-AS1,TMEM273
STAB2,DMTN,MYRIP,GRAP,CDC27,RAPGEF5
ZDHHC14,VPS35L,GRPEL2,TNFAIP8L1,HDDC3,LCN10
ANKRD1,GUSB,IFI44L,KDR,MLKL,HOXB9
TNFAIP8L3,ATP5F1E,SYT1,PDE2A,B3GNT5,TSPAN7
VPS35L,PGM5-AS1,CTTNBP2NL,KCNN2,ELOC,TMCC2
LRRC15,ASGR1,TOX2,EDC3,TMEM88,SHROOM4
LYVE1,SLCO2B1,GMNN,KCNJ15,SNAI1,ARHGAP31
EGLN3,IARS2,HEY1,ANKRD11,ERI1,LRRC1
CNKSR3,TSTA3,CAPZA2,CPLX1,ANAPC13,AC110611.2
GPRC5B,SCNN1B,KCTD12,SMAD1,C9orf40,CLDN15
NOD2,SEMA3A,SWAP70,SEMA3F,HOXB4,MSN
PROX1,CCDC141,THSD7A,DOCK6,SCN4A,TNPO1
P4HA3,SRGAP3,GIPC2,TP53I11,AC010524.1,NEURL1B
AC017104.1,C20orf204,IFI6,MAPKAPK5-AS1,MCF2L2,MAPK11
