cluster,gene,cluster0,celltype
BMYO1,IRX4,BMYO1,Epithelial
BMYO1,DLK2,BMYO1,Epithelial
BMYO1,NRG1,BMYO1,Epithelial
BMYO1,COL17A1,BMYO1,Epithelial
BMYO1,RNASE7,BMYO1,Epithelial
BMYO1,HAS3,BMYO1,Epithelial
BMYO1,LAMA3,BMYO1,Epithelial
BMYO1,FHOD3,BMYO1,Epithelial
BMYO1,LINC01589,BMYO1,Epithelial
BMYO1,MGARP,BMYO1,Epithelial
BMYO1,TP63,BMYO1,Epithelial
BMYO1,TNS4,BMYO1,Epithelial
BMYO1,TMEM178A,BMYO1,Epithelial
BMYO1,ABCC3,BMYO1,Epithelial
BMYO1,SH2D5,BMYO1,Epithelial
BMYO1,KRT14,BMYO1,Epithelial
BMYO1,OXTR,BMYO1,Epithelial
BMYO1,IL17RD,BMYO1,Epithelial
BMYO1,GALNT10,BMYO1,Epithelial
BMYO1,COL8A2,BMYO1,Epithelial
BMYO1,DST,BMYO1,Epithelial
BMYO1,ACTG2,BMYO1,Epithelial
BMYO1,FBXO2,BMYO1,Epithelial
BMYO1,CDH3,BMYO1,Epithelial
BMYO1,AMIGO2,BMYO1,Epithelial
BMYO1,GPC1,BMYO1,Epithelial
BMYO1,SLC27A1,BMYO1,Epithelial
BMYO1,WNT5B,BMYO1,Epithelial
BMYO1,SERPINB5,BMYO1,Epithelial
BMYO1,KRT5,BMYO1,Epithelial
BMYO1,SAMD5,BMYO1,Epithelial
BMYO1,ALDH3A2,BMYO1,Epithelial
BMYO1,JPH2,BMYO1,Epithelial
BMYO1,DKK3,BMYO1,Epithelial
BMYO1,MIR205HG,BMYO1,Epithelial
BMYO1,S100A2,BMYO1,Epithelial
BMYO1,NFASC,BMYO1,Epithelial
BMYO1,CADM4,BMYO1,Epithelial
BMYO1,DSC3,BMYO1,Epithelial
BMYO1,LAMC2,BMYO1,Epithelial
BMYO1,ATRN,BMYO1,Epithelial
BMYO1,PSAT1,BMYO1,Epithelial
BMYO1,NT5DC3,BMYO1,Epithelial
BMYO1,ZMAT3,BMYO1,Epithelial
BMYO1,ITGA3,BMYO1,Epithelial
BMYO1,SEMA3C,BMYO1,Epithelial
BMYO1,AC245014.3,BMYO1,Epithelial
BMYO1,KCNMB1,BMYO1,Epithelial
BMYO1,FBXO32,BMYO1,Epithelial
BMYO1,IRX1,BMYO1,Epithelial
BMYO1,DFFA,BMYO1,Epithelial
BMYO1,TUBB2B,BMYO1,Epithelial
BMYO1,TMEM237,BMYO1,Epithelial
BMYO1,USP31,BMYO1,Epithelial
BMYO1,GCLM,BMYO1,Epithelial
BMYO1,MRPS17,BMYO1,Epithelial
BMYO1,FGFR2,BMYO1,Epithelial
BMYO1,GPT2,BMYO1,Epithelial
BMYO1,PFKFB2,BMYO1,Epithelial
BMYO1,BLCAP,BMYO1,Epithelial
BMYO1,SLC1A5,BMYO1,Epithelial
BMYO1,UCHL1,BMYO1,Epithelial
BMYO1,LINC00662,BMYO1,Epithelial
BMYO1,AC253572.2,BMYO1,Epithelial
BMYO1,SRM,BMYO1,Epithelial
BMYO1,ACTN4,BMYO1,Epithelial
BMYO1,THUMPD2,BMYO1,Epithelial
BMYO1,FEZ1,BMYO1,Epithelial
BMYO1,PLXNB1,BMYO1,Epithelial
BMYO1,DRAP1,BMYO1,Epithelial
BMYO1,KLHL42,BMYO1,Epithelial
BMYO1,ZNF219,BMYO1,Epithelial
BMYO1,DSG3,BMYO1,Epithelial
BMYO1,ITGB1,BMYO1,Epithelial
BMYO1,KLHL13,BMYO1,Epithelial
BMYO1,PKD1,BMYO1,Epithelial
BMYO1,PGM1,BMYO1,Epithelial
BMYO1,FAM126A,BMYO1,Epithelial
BMYO1,SFN,BMYO1,Epithelial
BMYO1,MAPKBP1,BMYO1,Epithelial
BMYO1,SH3RF2,BMYO1,Epithelial
BMYO1,AC239799.2,BMYO1,Epithelial
BMYO1,KRT17,BMYO1,Epithelial
BMYO1,RPS6KA1,BMYO1,Epithelial
BMYO1,NETO2,BMYO1,Epithelial
BMYO1,PILRB,BMYO1,Epithelial
BMYO1,PHGDH,BMYO1,Epithelial
BMYO1,UBASH3B,BMYO1,Epithelial
BMYO1,URB1,BMYO1,Epithelial
BMYO1,NTF3,BMYO1,Epithelial
BMYO1,XPR1,BMYO1,Epithelial
BMYO1,RAD18,BMYO1,Epithelial
BMYO1,ARHGEF5,BMYO1,Epithelial
BMYO1,PAMR1,BMYO1,Epithelial
BMYO1,CDK18,BMYO1,Epithelial
BMYO1,LGR4,BMYO1,Epithelial
BMYO1,GAS6,BMYO1,Epithelial
BMYO1,ITGB4,BMYO1,Epithelial
BMYO1,WIF1,BMYO1,Epithelial
BMYO1,PARP1,BMYO1,Epithelial
BMYO2,SYT8,BMYO2,Epithelial
BMYO2,TNNI2,BMYO2,Epithelial
BMYO2,OXTR,BMYO2,Epithelial
BMYO2,DST,BMYO2,Epithelial
BMYO2,HSPA4L,BMYO2,Epithelial
BMYO2,AC007906.2,BMYO2,Epithelial
BMYO2,CRISPLD1,BMYO2,Epithelial
BMYO2,IL17B,BMYO2,Epithelial
BMYO2,PTPRZ1,BMYO2,Epithelial
BMYO2,TP63,BMYO2,Epithelial
BMYO2,RNASE7,BMYO2,Epithelial
BMYO2,GRP,BMYO2,Epithelial
BMYO2,SLMAP,BMYO2,Epithelial
BMYO2,AMIGO2,BMYO2,Epithelial
BMYO2,FGFR2,BMYO2,Epithelial
BMYO2,NT5DC3,BMYO2,Epithelial
BMYO2,SH3BGR,BMYO2,Epithelial
BMYO2,ANKRD1,BMYO2,Epithelial
BMYO2,RASSF6,BMYO2,Epithelial
BMYO2,IL1RAP,BMYO2,Epithelial
BMYO2,ACTG2,BMYO2,Epithelial
BMYO2,MME,BMYO2,Epithelial
BMYO2,CSTA,BMYO2,Epithelial
BMYO2,SEMA3C,BMYO2,Epithelial
BMYO2,FAM184A,BMYO2,Epithelial
BMYO2,ARHGAP5,BMYO2,Epithelial
BMYO2,FAM126A,BMYO2,Epithelial
BMYO2,XPR1,BMYO2,Epithelial
BMYO2,KLHL13,BMYO2,Epithelial
BMYO2,CHRNA5,BMYO2,Epithelial
BMYO2,MIR31HG,BMYO2,Epithelial
BMYO2,NEDD4L,BMYO2,Epithelial
BMYO2,GPR87,BMYO2,Epithelial
BMYO2,HIBCH,BMYO2,Epithelial
BMYO2,IRX1,BMYO2,Epithelial
BMYO2,NEFM,BMYO2,Epithelial
BMYO2,PRNP,BMYO2,Epithelial
BMYO2,CNN1,BMYO2,Epithelial
BMYO2,TMEM237,BMYO2,Epithelial
BMYO2,FRMD6,BMYO2,Epithelial
BMYO2,ST8SIA2,BMYO2,Epithelial
BMYO2,COL17A1,BMYO2,Epithelial
BMYO2,INTU,BMYO2,Epithelial
BMYO2,CARMN,BMYO2,Epithelial
BMYO2,TFAP2C,BMYO2,Epithelial
BMYO2,LIMA1,BMYO2,Epithelial
BMYO2,STAC2,BMYO2,Epithelial
BMYO2,NRG1,BMYO2,Epithelial
BMYO2,HOMER1,BMYO2,Epithelial
BMYO2,MYLK,BMYO2,Epithelial
BMYO2,PFKFB2,BMYO2,Epithelial
BMYO2,MIA,BMYO2,Epithelial
BMYO2,TNS4,BMYO2,Epithelial
BMYO2,ALDH7A1,BMYO2,Epithelial
BMYO2,S100B,BMYO2,Epithelial
BMYO2,ARHGEF5,BMYO2,Epithelial
BMYO2,EGR2,BMYO2,Epithelial
BMYO2,STK17A,BMYO2,Epithelial
BMYO2,SLC2A12,BMYO2,Epithelial
BMYO2,NEXN,BMYO2,Epithelial
BMYO2,TMEM178A,BMYO2,Epithelial
BMYO2,LGALS7B,BMYO2,Epithelial
BMYO2,MGME1,BMYO2,Epithelial
BMYO2,LCA5,BMYO2,Epithelial
BMYO2,RNF43,BMYO2,Epithelial
BMYO2,SERPINB5,BMYO2,Epithelial
BMYO2,ISM1,BMYO2,Epithelial
BMYO2,IRX2,BMYO2,Epithelial
BMYO2,ANO1,BMYO2,Epithelial
BMYO2,CMYA5,BMYO2,Epithelial
BMYO2,GAN,BMYO2,Epithelial
BMYO2,KRT5,BMYO2,Epithelial
BMYO2,MIR205HG,BMYO2,Epithelial
BMYO2,FAM189A2,BMYO2,Epithelial
BMYO2,FAM83B,BMYO2,Epithelial
BMYO2,MBNL2,BMYO2,Epithelial
BMYO2,NRG2,BMYO2,Epithelial
BMYO2,NAP1L2,BMYO2,Epithelial
BMYO2,LAMA3,BMYO2,Epithelial
BMYO2,BEX2,BMYO2,Epithelial
BMYO2,NSG1,BMYO2,Epithelial
BMYO2,TES,BMYO2,Epithelial
BMYO2,AOPEP,BMYO2,Epithelial
BMYO2,ETF1,BMYO2,Epithelial
BMYO2,MINDY2,BMYO2,Epithelial
BMYO2,RIPK4,BMYO2,Epithelial
BMYO2,ARHGAP19,BMYO2,Epithelial
BMYO2,SRSF8,BMYO2,Epithelial
BMYO2,KIF5B,BMYO2,Epithelial
BMYO2,KRT14,BMYO2,Epithelial
BMYO2,CXCL14,BMYO2,Epithelial
BMYO2,TENM2,BMYO2,Epithelial
BMYO2,FZD8,BMYO2,Epithelial
BMYO2,SULF1,BMYO2,Epithelial
BMYO2,SCPEP1,BMYO2,Epithelial
BMYO2,ARHGEF35,BMYO2,Epithelial
