BMYO1,BMYO2,LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3
IRX4,SYT8,S100A7,KRTAP2-3,SMS,RECQL,DLGAP5,TMEM45B,ARHGAP40,CP
DLK2,TNNI2,SERPINB3,KLK7,CMPK1,ROPN1,MKI67,SDR16C5,AKR7A3,HMGB3
NRG1,OXTR,SLC34A2,SLC25A37,IQCG,FAM3D,AURKB,CACNG4,SRARP,PPP4R4
COL17A1,DST,SERPINB4,KRT16,LINC01198,LINC02613,CCNB2,GOLM1,FTO,PCAT18
RNASE7,HSPA4L,RARRES1,ANXA11,RPL36,ROPN1B,ASPM,MISP,PARD6G-AS1,ARHGAP36
HAS3,AC007906.2,IGFL1,KRT6B,HADH,CALML5,HJURP,DNAJC12,ALDH3B2,CPB1
LAMA3,CRISPLD1,ADGRF1,SDCBP2,RPS19,AQP5,SPC25,EEF1A2,SLC26A3,SERPINA1
FHOD3,IL17B,C1QL2,PPP1R14C,C5orf46,CRABP1,CENPF,MRPS10,TFAP2B,SCGB1D2
LINC01589,PTPRZ1,LCN2,SLC5A1,SNHG29,ELF5,DEPDC1,TMC5,KIF12,CA2
MGARP,TP63,FDCSP,RBPMS-AS1,RPS18,KRT6A,TOP2A,TMEM106B,ERBB4,CIB1
TP63,RNASE7,MGAM2,BPGM,COBL,PRR4,NEK2,ARHGAP29-AS1,TTC36,AC092329.4
TNS4,GRP,SERPINB7,PTN,RPS21,MESP1,TROAP,TOX3,INPP5J,CYP27B1
TMEM178A,SLMAP,CYP24A1,VNN1,RPLP0,AP000851.1,BUB1,SLC44A4,MYB,PDZK1
ABCC3,AMIGO2,S100A8,TPT1-AS1,PGBD5,TTYH1,CDCA3,RASEF,XBP1,PIP
SH2D5,FGFR2,LINC00511,LIPH,SLC6A14,MAP2K6,PBK,SCCPDH,TTC6,SCGB1B2P
KRT14,NT5DC3,ASS1,NNT,RPL12,CSN1S1,NUF2,BCAS4,SPDEF,AC100801.1
OXTR,SH3BGR,MUC16,SPOCD1,RAP2B,S100B,UBE2C,DNAH5,BAMBI,NEK10
IL17RD,ANKRD1,CCDC9B,RNF114,RPS28,CITED4,TTK,SPINK1,ALB,SCGB3A1
GALNT10,RASSF6,SECTM1,HCAR2,MTHFD2L,PIK3C2G,CDK1,TRAFD1,VTCN1,HIGD1A
COL8A2,IL1RAP,PROM1,CAST,RPL29,PPP1R1B,KNL1,KCNMA1,TAT-AS1,PBX3
DST,ACTG2,VNN3,LRRFIP2,RPL13,DBI,CENPA,AREG,FBP1,SCUBE2
ACTG2,MME,S100A9,ST6GALNAC5,RPS6,CACYBP,CEP55,CIB1,REEP6,CITED1
FBXO2,CSTA,MARCO,TCN1,PDZK1IP1,UBB,HMMR,SERHL2,DIO2,HMGCS2
CDH3,SEMA3C,PLEKHS1,MELTF,YWHAH,LRRC26,KIF2C,CPPED1,CREB3L4,VSIG10L2
AMIGO2,FAM184A,CXCL17,KRT15,RACK1,CCDC34,SGO1,SEMA4B,FASN,SEMA3B
GPC1,ARHGAP5,DNTTIP1,NFKBIZ,TPT1-AS1,PPP1R16A,FOXM1,MAP3K1,MAGED2,IGSF1
