cluster,gene,cluster0,celltype
FB1,CNTN1,FB1,Fibro
FB1,ABCA10,FB1,Fibro
FB1,MXRA5,FB1,Fibro
FB1,VEGFD,FB1,Fibro
FB1,CAPN6,FB1,Fibro
FB1,SCARA5,FB1,Fibro
FB1,DNM1,FB1,Fibro
FB1,COL1A1,FB1,Fibro
FB1,PDGFD,FB1,Fibro
FB1,ABCA9,FB1,Fibro
FB1,CCL11,FB1,Fibro
FB1,TNN,FB1,Fibro
FB1,FMO1,FB1,Fibro
FB1,PLXDC1,FB1,Fibro
FB1,LAMA2,FB1,Fibro
FB1,OMD,FB1,Fibro
FB1,PI16,FB1,Fibro
FB1,MMP16,FB1,Fibro
FB1,CD248,FB1,Fibro
FB1,ABCA6,FB1,Fibro
FB1,COL3A1,FB1,Fibro
FB1,ADAM12,FB1,Fibro
FB1,IGSF10,FB1,Fibro
FB1,HTRA3,FB1,Fibro
FB1,GAS7,FB1,Fibro
FB1,ISLR,FB1,Fibro
FB1,DLK1,FB1,Fibro
FB1,MIR99AHG,FB1,Fibro
FB1,CPXM1,FB1,Fibro
FB1,SCN7A,FB1,Fibro
FB1,IGF1,FB1,Fibro
FB1,COL5A1,FB1,Fibro
FB1,LRRC17,FB1,Fibro
FB1,PLA2G2A,FB1,Fibro
FB1,PLAGL1,FB1,Fibro
FB1,OLFML3,FB1,Fibro
FB1,HTRA1,FB1,Fibro
FB1,FAM20A,FB1,Fibro
FB1,ZNF106,FB1,Fibro
FB1,TNNT3,FB1,Fibro
FB1,CXCL14,FB1,Fibro
FB1,MRC2,FB1,Fibro
FB1,GSTM5,FB1,Fibro
FB1,PTGDS,FB1,Fibro
FB1,PLTP,FB1,Fibro
FB1,GXYLT2,FB1,Fibro
FB1,SVEP1,FB1,Fibro
FB1,PLBD1,FB1,Fibro
FB1,COL1A2,FB1,Fibro
FB1,SPON2,FB1,Fibro
FB1,NEGR1,FB1,Fibro
FB1,GLT8D2,FB1,Fibro
FB1,F2R,FB1,Fibro
FB1,SFRP2,FB1,Fibro
FB1,CFD,FB1,Fibro
FB1,C7,FB1,Fibro
FB1,ADH1B,FB1,Fibro
FB1,LOXL1,FB1,Fibro
FB1,LSP1,FB1,Fibro
FB1,KIAA0408,FB1,Fibro
FB1,DPT,FB1,Fibro
FB1,OSR1,FB1,Fibro
FB1,CERCAM,FB1,Fibro
FB1,FOXP2,FB1,Fibro
FB1,ABCA8,FB1,Fibro
FB1,LRRN4CL,FB1,Fibro
FB1,GSN,FB1,Fibro
FB1,ZFHX4,FB1,Fibro
FB1,LUM,FB1,Fibro
FB1,COL5A2,FB1,Fibro
FB1,HMCN1,FB1,Fibro
FB1,MIR503HG,FB1,Fibro
FB1,MXRA8,FB1,Fibro
FB1,PDGFRL,FB1,Fibro
FB1,FAP,FB1,Fibro
FB1,MMP23B,FB1,Fibro
FB1,OLFML2A,FB1,Fibro
FB1,LAMB1,FB1,Fibro
FB1,SRPX,FB1,Fibro
FB1,HAND2,FB1,Fibro
FB1,SLIT2,FB1,Fibro
FB1,ADAM33,FB1,Fibro
FB1,FAM184A,FB1,Fibro
FB1,ALDH1A1,FB1,Fibro
FB1,CD302,FB1,Fibro
FB1,PCOLCE,FB1,Fibro
FB1,HYMAI,FB1,Fibro
FB1,PRTFDC1,FB1,Fibro
FB1,TNXB,FB1,Fibro
FB1,BICC1,FB1,Fibro
FB1,NOVA1,FB1,Fibro
FB1,ZBTB20,FB1,Fibro
FB1,PCDH18,FB1,Fibro
FB1,SELENOP,FB1,Fibro
FB1,GPX8,FB1,Fibro
FB1,CXCL12,FB1,Fibro
FB1,BOC,FB1,Fibro
FB1,MFAP2,FB1,Fibro
FB1,STARD5,FB1,Fibro
FB1,GPC3,FB1,Fibro
FB2,CNIH3,FB2,Fibro
FB2,AL139393.3,FB2,Fibro
FB2,MMP3,FB2,Fibro
FB2,ARSG,FB2,Fibro
FB2,C11orf53,FB2,Fibro
FB2,GAL,FB2,Fibro
FB2,SDK1,FB2,Fibro
