FB1,FB2,FB3,FB4
CNTN1,CNIH3,PTGFR,PRG4
ABCA10,AL139393.3,GREM1,MTSS1
MXRA5,MMP3,PAPPA2,PARP16
VEGFD,ARSG,BCHE,SLC2A1
CAPN6,C11orf53,WIF1,SERPINB2
SCARA5,GAL,OGN,CEP152
DNM1,SDK1,LTBP1,MFAP5
COL1A1,KDM7A-DT,SFRP4,SLC22A3
PDGFD,SLC12A8,CLU,RSAD2
ABCA9,LYPLAL1-AS1,AC008780.1,CRLF1
CCL11,THBS2,CADM3,PKDCC
TNN,PTGES,PTGIS,AKR1C2
FMO1,WNT2,RORB,CCN3
PLXDC1,RSPO3,CHL1,ADGRD1
LAMA2,TWIST2,AC074387.1,AKR1C1
OMD,NMB,TCEAL2,UAP1
PI16,FHAD1,PCOLCE2,FOXD1
MMP16,SH3PXD2B,SERPINF1,AADAC
CD248,BX322234.1,SCRG1,CYP1B1
ABCA6,LIMK1,HS3ST3A1,PTX3
COL3A1,ADPRHL1,ISM1,ALKAL2
ADAM12,MMP12,MMP23B,C7
IGSF10,TNFAIP6,EPHB2,EIF1B
HTRA3,LHFPL2,ISOC1,ITGBL1
GAS7,WIPI1,DIRAS3,HAS1
ISLR,CLMP,CTSF,SEC62
DLK1,MEDAG,FBLN1,NUMBL
MIR99AHG,SERPINE2,PBX1,ETNK1
CPXM1,TAC1,ASPN,FIBIN
SCN7A,MAP3K4,CISH,MAP4K5
IGF1,MMP2,FSTL3,FBN1
COL5A1,SEMA6A,MPP6,IL33
LRRC17,PHC2,CST3,DGKH
PLA2G2A,ZDHHC9,GAS1,PTRH2
PLAGL1,ROR2,ADAMTS3,CD55
OLFML3,S1PR2,RBP4,CCBE1
HTRA1,DIP2C,IGFBP6,MYOM2
FAM20A,TGFB3,SSC5D,MSC
ZNF106,LPAR1,OSBPL8,ZFP36L1
TNNT3,ABL1,CYP3A5,IGFBP6
CXCL14,TIMP1,NTN1,JAM3
MRC2,UBTD2,S100A3,MED27
GSTM5,KREMEN1,LEPR,MESD
PTGDS,SAMD4B,DSEL,AC002456.1
PLTP,SLC7A8,DES,DNAJB9
GXYLT2,C17orf58,RNF144A,PTGR1
SVEP1,LAMA1,MAOB,COPS8
PLBD1,MMP10,PDGFRL,LAPTM4A
COL1A2,HGF,FAP,DOK5
SPON2,AP5B1,FLNC,DNER
NEGR1,OAF,NBL1,ABI3BP
GLT8D2,PDPN,DCLK1,FAM153CP
F2R,ZDBF2,RARRES2,TLNRD1
SFRP2,HMGA2,BDKRB1,S1PR2
CFD,AC092279.1,OLFML3,NOTCH2
C7,RAMP1,TAPBPL,CDH11
ADH1B,FST,FN1,TNNT3
LOXL1,TMEFF1,BNC2,UGDH
LSP1,MEG8,C3,FAS
KIAA0408,LSS,COL8A1,HSD17B7
DPT,LOXL2,CPQ,RAN
OSR1,SLC38A6,ABI3BP,LTBP4
CERCAM,HAND2-AS1,PKIA,LARP6
FOXP2,CCBE1,SPOCK1,RELT
ABCA8,ADGRD1,ADAMTSL4,ECM1
LRRN4CL,CLSTN3,IFI27L2,SLC35F2
GSN,KDM7A,ARL6IP5,HELLPAR
ZFHX4,GSTO1,SCG5,PRDX6
LUM,COPS8,P3H3,WNT9A
COL5A2,ZNF254,SERPING1,ENC1
HMCN1,PLA2G4A,DOK5,FGF2
MIR503HG,RABGEF1,FUCA2,SLC29A1
MXRA8,PENK,C1R,LTBP2
PDGFRL,EVA1A,WDPCP,RPL22L1
FAP,IL15RA,EFEMP2,SFRP4
MMP23B,LINC01060,DYNC1I1,RIOK1
OLFML2A,MMP14,SCARA3,PGM3
LAMB1,ADAMTS12,LGALS3BP,PTGES
SRPX,KAZN,KIF21A,FMNL2
HAND2,AGPAT4,C12orf75,TMEM38B
SLIT2,AHI1,MIR100HG,LRRC59
ADAM33,CENPW,CCDC71L,PID1
FAM184A,PDGFRA,DPT,GSTO1
ALDH1A1,DPY19L3,AHNAK2,RDH10
CD302,MEG3,AEBP1,SPOCK1
PCOLCE,DUXAP8,KAZALD1,ADH1B
HYMAI,RBMS1,LTBP3,DRAM1
PRTFDC1,CD276,AGXT,CNBP
TNXB,PLEKHM2,STEAP1,LYRM4
BICC1,MAP4K5,CCDC80,PNPLA8
NOVA1,DNAJC25,PRELP,GART
ZBTB20,NFATC4,CCN5,RAB7A
PCDH18,ASB1,CHID1,PIGV
SELENOP,ACSL4,UAP1,MN1
GPX8,REEP5,CTSK,TPBG
CXCL12,RFX8,CLEC11A,TRIML2
BOC,APOL1,FIBIN,CHRDL1
MFAP2,NSMAF,STEAP2,SDF2L1
STARD5,INPP4A,MICOS10,FLRT2
GPC3,PGAM1,HMCN2,ABCC1
