cluster,gene,cluster0,celltype
DC,CCL17,DC,Mye
DC,CCL22,DC,Mye
DC,VMO1,DC,Mye
DC,CLEC9A,DC,Mye
DC,PNOC,DC,Mye
DC,GPR157,DC,Mye
DC,FLT3,DC,Mye
DC,LAMP3,DC,Mye
DC,CFP,DC,Mye
DC,GCSAM,DC,Mye
DC,LGALS2,DC,Mye
DC,CRLF2,DC,Mye
DC,CD86,DC,Mye
DC,SERPINB1,DC,Mye
DC,AC020656.1,DC,Mye
DC,LILRA5,DC,Mye
DC,HLA-DPB1,DC,Mye
DC,GNG8,DC,Mye
DC,HLA-DOB,DC,Mye
DC,ADAM19,DC,Mye
DC,WDFY4,DC,Mye
DC,TVP23A,DC,Mye
DC,C1orf162,DC,Mye
DC,PADI2,DC,Mye
DC,CYP2S1,DC,Mye
DC,TMSB4X,DC,Mye
DC,UBE2F,DC,Mye
DC,TXN,DC,Mye
DC,CLEC7A,DC,Mye
DC,HLA-DPA1,DC,Mye
DC,IDO1,DC,Mye
DC,KDM2B,DC,Mye
DC,ETV3,DC,Mye
DC,CD80,DC,Mye
DC,TBC1D13,DC,Mye
DC,MAP3K14,DC,Mye
DC,RNASE6,DC,Mye
DC,CLEC10A,DC,Mye
DC,BTLA,DC,Mye
DC,TTYH2,DC,Mye
DC,AJ009632.2,DC,Mye
DC,TMEM123,DC,Mye
DC,LY75,DC,Mye
DC,ID2,DC,Mye
DC,TNFSF13B,DC,Mye
DC,CSF2RA,DC,Mye
DC,LYZ,DC,Mye
DC,IFI30,DC,Mye
DC,RAMP1,DC,Mye
DC,GCLC,DC,Mye
DC,TSPAN33,DC,Mye
DC,APOBEC3A,DC,Mye
DC,IL4I1,DC,Mye
DC,PIKFYVE,DC,Mye
DC,LY86,DC,Mye
DC,HLA-DQB2,DC,Mye
DC,PLEKHM3,DC,Mye
DC,SERPINB9,DC,Mye
DC,DNASE1L3,DC,Mye
DC,SYNGR2,DC,Mye
DC,CD83,DC,Mye
DC,CD74,DC,Mye
DC,HLA-DQB1,DC,Mye
DC,AC004847.1,DC,Mye
DC,LOR,DC,Mye
DC,HSD11B1-AS1,DC,Mye
DC,IL2RA,DC,Mye
DC,RASSF4,DC,Mye
DC,C19orf38,DC,Mye
DC,SLC6A12,DC,Mye
DC,CMTM6,DC,Mye
DC,CIITA,DC,Mye
DC,SLC5A3,DC,Mye
DC,ACOT9,DC,Mye
DC,ASMTL,DC,Mye
DC,HPD,DC,Mye
DC,RHOF,DC,Mye
DC,EDEM1,DC,Mye
DC,NABP1,DC,Mye
DC,AIF1,DC,Mye
DC,CXCL16,DC,Mye
DC,KCNE5,DC,Mye
DC,RGS18,DC,Mye
DC,IL1R2,DC,Mye
DC,C12orf45,DC,Mye
DC,HLA-DRA,DC,Mye
DC,BX255923.2,DC,Mye
DC,GPR137B,DC,Mye
DC,FSCN1,DC,Mye
DC,CCR7,DC,Mye
DC,CERS6,DC,Mye
DC,AP001056.2,DC,Mye
DC,SPI1,DC,Mye
DC,ST8SIA4,DC,Mye
DC,ARRB2,DC,Mye
DC,CD180,DC,Mye
DC,POGLUT1,DC,Mye
DC,LSP1,DC,Mye
DC,AC092809.2,DC,Mye
DC,RASAL1,DC,Mye
Macro,C1QA,Macro,Mye
Macro,C1QC,Macro,Mye
Macro,C1QB,Macro,Mye
Macro,FCER1G,Macro,Mye
Macro,FCGR2A,Macro,Mye
Macro,CREG1,Macro,Mye
Macro,NPL,Macro,Mye
Macro,IL10,Macro,Mye
Macro,PLEK,Macro,Mye
Macro,IL1B,Macro,Mye
Macro,IL1RN,Macro,Mye
Macro,SLC11A1,Macro,Mye
Macro,CD80,Macro,Mye
Macro,ACSL1,Macro,Mye
Macro,MIR3945HG,Macro,Mye
Macro,SLC1A3,Macro,Mye
Macro,GM2A,Macro,Mye
Macro,HAVCR2,Macro,Mye
Macro,AIF1,Macro,Mye
Macro,PLA2G7,Macro,Mye
Macro,SLC16A10,Macro,Mye
Macro,AC005083.1,Macro,Mye
Macro,PILRA,Macro,Mye
Macro,TFEC,Macro,Mye
Macro,MSR1,Macro,Mye
Macro,AC009630.4,Macro,Mye
Macro,AZIN1-AS1,Macro,Mye
Macro,LNCAROD,Macro,Mye
Macro,SPI1,Macro,Mye
Macro,MS4A4A,Macro,Mye
Macro,MS4A7,Macro,Mye
Macro,CD163,Macro,Mye
Macro,C3AR1,Macro,Mye
Macro,OLR1,Macro,Mye
Macro,SDS,Macro,Mye
Macro,P2RX7,Macro,Mye
Macro,HIF1A-AS3,Macro,Mye
Macro,DMXL2,Macro,Mye
Macro,AQP9,Macro,Mye
Macro,ITGAX,Macro,Mye
Macro,PIK3R5,Macro,Mye
Macro,CCL3,Macro,Mye
Macro,CCL3L1,Macro,Mye
Macro,CD300A,Macro,Mye
Macro,EBI3,Macro,Mye
Macro,IFI30,Macro,Mye
Macro,TYROBP,Macro,Mye
Macro,C5AR1,Macro,Mye
Macro,LILRB3,Macro,Mye
Macro,LILRB2,Macro,Mye
Macro,LAIR1,Macro,Mye
