cluster,gene,cluster0,celltype
PV1,DCBLD1,PV1,Peri
PV1,AC027031.2,PV1,Peri
PV1,CPM,PV1,Peri
PV1,NPTX2,PV1,Peri
PV1,TRPC4,PV1,Peri
PV1,ADRA2C,PV1,Peri
PV1,CNR1,PV1,Peri
PV1,CTSC,PV1,Peri
PV1,OLFM2,PV1,Peri
PV1,SGIP1,PV1,Peri
PV1,ELK1,PV1,Peri
PV1,PTPN1,PV1,Peri
PV1,LIN7A,PV1,Peri
PV1,GJC1,PV1,Peri
PV1,ADCYAP1R1,PV1,Peri
PV1,NCK2,PV1,Peri
PV1,GCNA,PV1,Peri
PV1,GLIS2,PV1,Peri
PV1,CYTH3,PV1,Peri
PV1,LONRF1,PV1,Peri
PV1,EPS8,PV1,Peri
PV1,CYP26B1,PV1,Peri
PV1,IL1RL1,PV1,Peri
PV1,CHST2,PV1,Peri
PV1,EDNRB,PV1,Peri
PV1,PTGER3,PV1,Peri
PV1,TMED5,PV1,Peri
PV1,SSTR2,PV1,Peri
PV1,AF121898.1,PV1,Peri
PV1,SLC1A2,PV1,Peri
PV1,TRAM2,PV1,Peri
PV1,HIPK2,PV1,Peri
PV1,CREB3L2,PV1,Peri
PV1,PAG1,PV1,Peri
PV1,GLIS3,PV1,Peri
PV1,CD276,PV1,Peri
PV1,SOX13,PV1,Peri
PV1,UBA2,PV1,Peri
PV1,TMEM189,PV1,Peri
PV1,NDUFS2,PV1,Peri
PV1,PROCR,PV1,Peri
PV1,ASAP1,PV1,Peri
PV1,PDE8A,PV1,Peri
PV1,LARGE1,PV1,Peri
PV1,PEX5,PV1,Peri
PV1,PMEPA1,PV1,Peri
PV1,RASD2,PV1,Peri
PV1,COL25A1,PV1,Peri
PV1,ZFP91,PV1,Peri
PV1,DENND5A,PV1,Peri
PV1,CDC37L1,PV1,Peri
PV1,AHR,PV1,Peri
PV1,PRKG1,PV1,Peri
PV1,MECP2,PV1,Peri
PV1,RNF152,PV1,Peri
PV1,HSPA12A,PV1,Peri
PV1,SATB2,PV1,Peri
PV1,STARD13,PV1,Peri
PV1,PCED1A,PV1,Peri
PV1,CHSY1,PV1,Peri
PV1,GNAI1,PV1,Peri
PV1,DLX5,PV1,Peri
PV1,CNBP,PV1,Peri
PV1,FAM110B,PV1,Peri
PV1,PDGFA,PV1,Peri
PV1,DEGS1,PV1,Peri
PV1,SPRY2,PV1,Peri
PV1,IPO5,PV1,Peri
PV1,B4GALT3,PV1,Peri
PV1,DDX21,PV1,Peri
PV1,COPS2,PV1,Peri
PV1,CDC42EP2,PV1,Peri
PV1,TBC1D23,PV1,Peri
PV1,PRMT1,PV1,Peri
PV1,RNF5,PV1,Peri
PV1,PSMD8,PV1,Peri
PV1,ADAMTS12,PV1,Peri
PV1,AGTR1,PV1,Peri
PV1,LPL,PV1,Peri
PV1,ACO1,PV1,Peri
