cluster,gene,cluster0,celltype
CD4_naive,TESPA1,CD4_naive,T
CD4_naive,CCR4,CD4_naive,T
CD4_naive,CD40LG,CD4_naive,T
CD4_naive,CD28,CD4_naive,T
CD4_naive,SMCHD1,CD4_naive,T
CD4_naive,LINC00892,CD4_naive,T
CD4_naive,ADAM23,CD4_naive,T
CD4_naive,TRAT1,CD4_naive,T
CD4_naive,GNAO1,CD4_naive,T
CD4_naive,TNFSF8,CD4_naive,T
CD4_naive,SESN3,CD4_naive,T
CD4_naive,CTLA4,CD4_naive,T
CD4_naive,AP000787.1,CD4_naive,T
CD4_naive,MRPL1,CD4_naive,T
CD4_naive,PHTF2,CD4_naive,T
CD4_naive,PASK,CD4_naive,T
CD4_naive,NR3C1,CD4_naive,T
CD4_naive,EML4,CD4_naive,T
CD4_naive,LINC00239,CD4_naive,T
CD4_naive,PCNX1,CD4_naive,T
CD4_naive,ZNF831,CD4_naive,T
CD4_naive,MALT1,CD4_naive,T
CD4_naive,SARAF,CD4_naive,T
CD4_naive,CNOT6L,CD4_naive,T
CD4_naive,IPCEF1,CD4_naive,T
CD4_naive,SC5D,CD4_naive,T
CD4_naive,SELL,CD4_naive,T
CD4_naive,LEPROTL1,CD4_naive,T
CD4_naive,GPR171,CD4_naive,T
CD4_naive,MTFP1,CD4_naive,T
CD4_naive,SATB1,CD4_naive,T
CD4_naive,TRABD2A,CD4_naive,T
CD4_naive,ITK,CD4_naive,T
CD4_naive,HMGB2,CD4_naive,T
CD4_naive,FKBP5,CD4_naive,T
CD4_naive,CRYBG1,CD4_naive,T
CD4_naive,PGGHG,CD4_naive,T
CD4_naive,CD5,CD4_naive,T
CD4_naive,RCAN3,CD4_naive,T
CD4_naive,RESF1,CD4_naive,T
CD4_naive,PPP2R5C,CD4_naive,T
CD4_naive,SFXN1,CD4_naive,T
CD4_naive,MTERF4,CD4_naive,T
CD4_naive,AP3M2,CD4_naive,T
CD4_naive,TXNIP,CD4_naive,T
CD4_naive,SFMBT1,CD4_naive,T
CD4_naive,PIK3IP1,CD4_naive,T
CD4_naive,TTC39C-AS1,CD4_naive,T
CD4_naive,BRD9,CD4_naive,T
CD4_naive,FYN,CD4_naive,T
CD4_naive,METTL4,CD4_naive,T
CD4_naive,AC133644.2,CD4_naive,T
CD4_naive,ANKRD12,CD4_naive,T
CD4_naive,AC092338.3,CD4_naive,T
CD4_naive,CD6,CD4_naive,T
CD4_naive,PRKCQ-AS1,CD4_naive,T
CD4_naive,MDM4,CD4_naive,T
CD4_naive,N4BP2,CD4_naive,T
CD4_naive,CCNH,CD4_naive,T
CD4_naive,RORA,CD4_naive,T
CD4_naive,STT3B,CD4_naive,T
CD4_naive,SEMA4D,CD4_naive,T
CD4_naive,EVL,CD4_naive,T
CD4_naive,STK4,CD4_naive,T
CD4_naive,IQGAP2,CD4_naive,T
CD4_naive,TACC3,CD4_naive,T
CD4_naive,NCMAP,CD4_naive,T
CD4_naive,BRD1,CD4_naive,T
CD4_naive,BMI1,CD4_naive,T
CD4_naive,JOSD1,CD4_naive,T
CD4_naive,PIK3R1,CD4_naive,T
CD4_naive,HNRNPLL,CD4_naive,T
CD4_naive,HERPUD2,CD4_naive,T
CD4_naive,BTG1,CD4_naive,T
CD4_naive,SNHG6,CD4_naive,T
CD4_naive,SNHG12,CD4_naive,T
CD4_naive,BATF,CD4_naive,T
CD4_naive,AKNA,CD4_naive,T
CD4_naive,BCL11B,CD4_naive,T
CD4_naive,DOCK10,CD4_naive,T
CD4_naive,RNF19A,CD4_naive,T
CD4_naive,ITPRIPL1,CD4_naive,T
CD4_naive,CD247,CD4_naive,T
CD4_naive,AC093010.2,CD4_naive,T
CD4_naive,PBX4,CD4_naive,T
CD4_naive,LINC-PINT,CD4_naive,T
CD4_naive,LMNB1,CD4_naive,T
CD4_naive,DGKA,CD4_naive,T
CD4_naive,ATG2A,CD4_naive,T
CD4_naive,BICDL1,CD4_naive,T
CD4_naive,ICOS,CD4_naive,T
CD4_naive,AC136475.3,CD4_naive,T
CD4_naive,WIPF1,CD4_naive,T
CD4_naive,CENPC,CD4_naive,T
CD4_naive,KAT2B,CD4_naive,T
CD4_naive,SETD2,CD4_naive,T
CD4_naive,CEMIP2,CD4_naive,T
CD4_naive,KIAA1109,CD4_naive,T
CD4_naive,OXNAD1,CD4_naive,T
CD4_naive,FYB1,CD4_naive,T
CD4_Th,TTC39C-AS1,CD4_Th,T
CD4_Th,CCR4,CD4_Th,T
CD4_Th,ADAM23,CD4_Th,T
CD4_Th,TNFRSF25,CD4_Th,T
CD4_Th,LINC00892,CD4_Th,T
CD4_Th,TRAV8-2,CD4_Th,T
CD4_Th,CD40LG,CD4_Th,T
CD4_Th,MYBL1,CD4_Th,T
CD4_Th,ZC3H12D,CD4_Th,T
CD4_Th,CCR6,CD4_Th,T
CD4_Th,TESPA1,CD4_Th,T
CD4_Th,KIAA0319L,CD4_Th,T
CD4_Th,CTLA4,CD4_Th,T
CD4_Th,RGS14,CD4_Th,T
CD4_Th,TRAT1,CD4_Th,T
CD4_Th,TTC39C,CD4_Th,T
CD4_Th,UBASH3A,CD4_Th,T
CD4_Th,RORA,CD4_Th,T
CD4_Th,CD5,CD4_Th,T
CD4_Th,PRKCQ-AS1,CD4_Th,T
