B cells Memory,B cells Naive,Plasmablasts
MS4A1,CD79A,IGKV3-15
CD79A,TCL1A,IGHG1
CD83,MS4A1,IGKV1-5
CD37,CD37,IGKV3-20
BANK1,CD74,IGKV3-11
HLA-DRA,LINC00926,IGKV1-9
CD74,HLA-DQB1,IGKC
HLA-DQB1,HLA-DRA,IGLV2-14
VPREB3,CD79B,IGKV4-1
IGHA1,VPREB3,IGLV3-25
HLA-DQA1,BANK1,IGLV1-40
IGHM,IGHD,IGLV1-44
CD79B,FCER2,IGHV6-1
HLA-DPB1,HVCN1,IGLC2
HLA-DQA2,HLA-DPB1,IGLV1-51
IRF8,ADAM28,IGHV3-23
HLA-DPA1,FCMR,IGHV3-21
ARHGAP24,CD83,IGLV3-21
ADAM28,LAPTM5,IGLC3
LINC00926,NCF1,IGLV1-47
LY9,BACH2,IGHV3-30
HLA-DRB5,BTG1,IGLV3-1
POU2F2,HLA-DPA1,IGLV2-23
MEF2C,CD52,IGLV2-11
RALGPS2,HLA-DQA1,IGHV4-39
LAPTM5,FAM129C,JCHAIN
CD52,IGHM,IGHG3
FCMR,CD72,IGHV1-18
CD19,SELL,IGHV1-46
SMIM14,HLA-DMB,CH17-224D4.2
CD69,POU2F2,IGLV2-8
NCF1,STAG3,IGKV1-8
LTB,CD19,IGLV4-69
FCRLA,MEF2C,IGHG4
1-Mar,RCSD1,IGKV1-16
NFKBID,STK17A,IGKV3D-11
HVCN1,LIMD2,IGHA1
CD55,IL4R,IGHV3-15
HLA-DRB1,TXNIP,IGHV3-74
LIMD2,IRF8,IGLV3-19
CCR7,TNFRSF13C,IGHV5-51
RP5-887A10.1,HLA-DMA,IGHV1-2
TNFRSF13B,HLA-DQA2,IGHV1-3
HLA-DMA,SNX2,IGHV4-34
TNFRSF13C,HLA-DRB5,IGLV6-57
REL,RALGPS2,IGLV3-10
BLK,1-Mar,IGLV7-46
SELL,SMCHD1,IGKV2-30
AC079767.4,CCR7,IGHV1-69
LY86,LY9,IGKV1-17
CD22,ARHGAP24,IGHV3-48
PARP15,ISG20,IGLV2-18
HLA-DMB,CD22,IGLV3-9
CD53,CD55,IGHV4-59
PTPN6,RNASE6,IGHV3-7
SNX2,PHACTR1,IGHV4-61
FAM129C,ORAI2,IGHV3-11
CD70,GABPB1-AS1,IGHG2
CD40,IFT57,IGKV1-39
IGKC,PAX5,IGKV1-27
LYN,RP11-231C14.7,MZB1
BLNK,BIRC3,IGKV1-6
CXCR4,RHOH,IGKV1D-39
SWAP70,STX7,IGLV3-27
TCL1A,TMEM243,IGHV3-53
TMEM243,CYBA,IGHV3-66
POU2AF1,REL,IGKV1-12
FAM65B,FCRLA,IGKV2-29
PHACTR1,RP11-693J15.5,CH17-262H11.1
RAC2,PPM1K,IGHV3-73
KIAA0125,PARP14,IGHV3-49
LAT2,BCL11A,IGHA2
CD48,IGLL5,IGHV3-33
BCL2A1,SNX29,AC233755.2
CORO1A,RASGRP2,IGHM
AIM2,STAP1,IGHV4-31
TXNIP,BLK,DERL3
SP140,PLAC8,IGHV3-43
SCIMP,IFI44L,IGHV1-24
GPR183,GAPT,SSR4
SMCHD1,AFF3,CH17-224D4.1
GPSM3,GLTSCR2,IGHGP
BCAS4,SSH2,IGHV1-69-2
IGHD,BLNK,IGLL5
PIKFYVE,FCRL5,IGKV3D-15
BTK,LAT2,IGKV3D-20
SYK,HLA-DOB,CD79A
RCSD1,CD40,IGHV3-20
CLECL1,CXCR4,FKBP11
FGD2,GPR18,ITM2C
HLA-DOB,FCRL1,SEC11C
PPM1K,SMAP2,IGKV1D-16
BASP1,FOXP1,IGKV3-7
FCRL1,MTSS1,HERPUD1
ANKRD44,TRIM38,XBP1
ORAI2,PDE4B,IGHV3-64
RP11-693J15.5,HLA-DRB1,IGKV1D-13
PLAC8,PRKCB,JSRP1
HSH2D,RP5-887A10.1,IGKV1D-8
TNFAIP8,LTB,CH17-212P11.4
C1orf186,SWAP70,PRDX4
GAPT,FAM65B,HSP90B1
CYBA,GPSM3,PIM2
CD72,SESN1,CD38
KIAA0226L,SP100,SDF2L1
PAX5,FAM26F,FKBP2
STK4,GNG7,TNFRSF17
RGS19,BTLA,UBE2J1
GNG7,CORO1A,POU2AF1
TMEM154,BTK,KIAA0125
TSC22D3,ZCCHC7,SPCS3
FCRL5,CD48,CRELD2
IFI44L,ANKRD44,DNAAF1
FCER2,HLA-DOA,SSR3
RNASET2,LYN,ERLEC1
STK17A,SP140,PLPP5
RIC3,COL19A1,ZBP1
RASGEF1B,PLEKHA2,VIMP
RHOH,TMEM2,LMAN1
SPIB,KIAA0226L,RP11-16E12.2
RP5-1171I10.5,PTPN6,RP11-290F5.1
6-Sep,CD53,TXNDC11
CXCR5,TRIM22,ST6GALNAC4
PRKCB,HHEX,RP11-160E2.6
ISG20,XAF1,FCRL5
RASGRP2,LY86,MIR155HG
BCL11A,RP11-796E2.4,RRBP1
,STK4,MYDGF
,RPS2,SPCS2
,HLA-E,CPNE5
,CAMK1D,CD27
,EPSTI1,PRDM1
,TNFAIP8,SLAMF7
,CD69,
,FGD2,
,INPP5D,
,IL16,
,FCHSD2,
,FAM159A,
,RAC2,
,TMEM154,
,CTB-133G6.1,
,KIAA0125,
,TSC22D3,
,C1orf162,
,SPIB,
,SNX22,
