Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5
ACKR1,IGFBP3,CCL21,FABP4
PLVAP,FABP4,FABP4,PLVAP
VWF,CLDN5,TFPI,RBP7
AQP1,RAMP2,TFF3,COL4A1
SPARCL1,SLC9A3R2,EFEMP1,HSPG2
RAMP3,PLPP1,MMRN1,RAMP2
RAMP2,A2M,GNG11,COL4A2
ENG,CAV1,RAMP2,GNG11
FABP4,GNG11,SDPR,EGFL7
PECAM1,CLEC14A,CLDN5,A2M
SPRY1,RBP7,NTS,IGFBP7
EGFL7,C10orf10,CAV1,VWF
IGFBP7,TM4SF1,FABP5,SPARCL1
CLDN5,ID1,PPFIBP1,CALCRL
NPDC1,EGFL7,AKAP12,AQP1
EMCN,CXCL12,EGFL7,ESAM
IGFBP4,ESAM,ECSCR.1,CD36
PRCP,PECAM1,RCAN1,PLPP1
HSPG2,IFI27,CD9,RAMP3
GNG11,ICAM2,NRP2,SPARC
