Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5
ACKR1,IGFBP3,CCL21,FABP4
PLVAP,FABP4,FABP4,PLVAP
VWF,CLDN5,TFPI,RBP7
AQP1,RAMP2,TFF3,COL4A1
SPARCL1,SLC9A3R2,EFEMP1,HSPG2
RAMP3,PLPP1,MMRN1,RAMP2
RAMP2,A2M,GNG11,COL4A2
ENG,CAV1,RAMP2,GNG11
FABP4,GNG11,SDPR,EGFL7
PECAM1,CLEC14A,CLDN5,A2M
SPRY1,RBP7,NTS,IGFBP7
EGFL7,C10orf10,CAV1,VWF
IGFBP7,TM4SF1,FABP5,SPARCL1
CLDN5,ID1,PPFIBP1,CALCRL
NPDC1,EGFL7,AKAP12,AQP1
EMCN,CXCL12,EGFL7,ESAM
IGFBP4,ESAM,ECSCR.1,CD36
PRCP,PECAM1,RCAN1,PLPP1
HSPG2,IFI27,CD9,RAMP3
GNG11,ICAM2,NRP2,SPARC
SELE,GJA4,PROX1,COL15A1
PDLIM1,HSPG2,IGFBP7,ENG
FKBP1A,PODXL,CD59,ADGRL4
ADGRL4,HEY1,HYAL2,SPRY1
CALCRL,SRP14,STMN1,PECAM1
PDK4,STOM,SPTBN1,ID1
SDPR,EMCN,ID1,CD34
RNASE1,EPAS1,RGS16,CLEC14A
ZNF385D,FLT1,LYVE1,GSN
CLEC14A,IGF2,CALCRL,FLT1
A2M,IFITM3,PDPN,CLDN5
SOCS3,CRIP2,ANGPT2,VWA1
IFITM3,RNASE1,THBD,SLC9A3R2
CD34,ADGRL4,S100A10,CAV1
COL15A1,NOTCH4,APP,ESM1
TSPAN7,ENG,CXorf36,EMCN
CLU,PALMD,PECAM1,TCF4
IFI27,KCTD12,VWF,INSR
CXorf36,SOX17,MGST2,PODXL
DUSP23,EDN1,KANK3,ARHGAP29
ADAMTS9,PLVAP,VIM,CRIP2
ESAM,BTNL9,RAB11A,NOTCH4
ID1,CD34,ARHGAP29,RGS5
HYAL2,SPARCL1,TM4SF1,TM4SF18
EMP1,STC1,COL4A1,MGLL
MCTP1,NPDC1,TM4SF18,ID3
RCAN1,CDH5,ANXA2,CD93
BCAM,ADGRF5,FSCN1,KDR
IL33,AQP1,EMP1,HYAL2
ETS2,INSR,TIE1,CCDC85B
TGFBR2,CYYR1,TIMP3,FSCN1
CD59,CD93,COL4A2,IGFBP4
NNMT,PTPRB,CD34,BTNL9
LMCD1,ENPP2,RHOJ,IFI27
PTRF,EFNB2,PRSS23,SDPR
SNCG,HYAL2,PDLIM1,RNASE1
PALMD,TCF4,CYB5R3,NPDC1
EPAS1,ADAMTS1,TUBB6,SPTBN1
ADAMTS1,SEMA3G,PLVAP,IGFBP3
ID3,JAM2,CRIP2,ADGRF5
CD93,CALCRL,PTPRE,FKBP1A
TM4SF1,PTRF,ELK3,CYYR1
CRIP2,S1PR1,RAMP3,LAMA4
CD36,JAG1,LAMA4,NRP1
TCF4,COL4A1,EMCN,PCDH17
CYYR1,ARL15,PTRF,CDH5
RBP7,PRKCDBP,SNCG,PLPP3
EDN1,MMRN2,FKBP1A,CXorf36
CCL14,DLL4,CAV2,APLNR
IL6,GJA5,IFITM3,TIMP3
LIFR,MCTP1,CYR61,PTRF
ITGA6,FBLN5,TNXB,PRKCDBP
ADIRF,ADAM15,KLF4,EMP1
MGLL,APP,TCF4,TMEM204
ADM5,EMP1,TGFBR2,EPAS1
ADAM15,HEG1,CD36,APP
NRN1,MECOM,HSPG2,IFITM3
SLCO2A1,VWF,SMAD1,PALMD
MMRN2,GSN,CLU,ICAM2
MALL,MGST2,PLSCR4,SOX18
JAM2,ID3,PRCP,RGS3
THBD,BST2,LDB2,MCAM
CAV1,LMCD1,TGM2,IGF2
FAM167B,RHOB,CDH5,DLL4
CD74,BCAM,MYCT1,C1orf54
TGM2,SDPR,ENG,TIE1
PTPRB,SAT1,WARS,RDX
SELP,MTUS1,CD200,STC1
ICAM1,SOX18,CNN3,FAM167B
TFPI,VIM,PLPP1,MGST2
CFI,SPTBN1,SLC9A3R2,ITGA6
VIM,CD36,FLT4,APOLD1
FABP5,JAG2,ITGA6,TNFRSF4
ECSCR.1,RDX,MARCKS,LDB2
VWA1,SWAP70,DKK3,VAMP5
YBX3,ARHGAP29,TBX1,PLXND1
STC1,ECSCR.1,ROBO4,ROBO4
SH3BP5,THSD7A,CNKSR3,MEF2C
OLFM1,TIMP3,CD151,SERPINH1
ADCY4,GIMAP7,SHC1,ELK3
ARHGAP29,COL4A2,HES1,BCAM
NEDD9,TSC22D1,SULF2,LPAR6
NRP1,IFITM1,GAS6,TSC22D1
BACE2,LTBP4,CCND1,ETS2
SPTBN1,PIK3R3,MTUS1,TMEM88
KLF4,RHOC,BACE2,SLCO2A1
RAB13,SEPW1,STOM,SOCS3
HEG1,LIMS2,YBX3,SOX17
APLNR,TIE1,LIMS1,ADCY4
S1PR1,IL33,ADGRF5,PRCP
APOLD1,CXCL2,ADCY4,THBD
VAMP5,KLF2,NR2F2,DUSP6
COL4A2,THBD,APOLD1,SCARB1
NDRG1,STMN1,MFAP2,TGFBR2
LDB2,IGFBP7,FXYD6,PGF
CTGF,MYCT1,GYPC,HES1
IFITM2,IL3RA,TUBB,IVNS1ABP
MGST2,PCSK5,S1PR1,PXDN
ELK3,PPP1R14A,RAI14,EHD4
IFITM1,MAST4,SPHK1,COL18A1
GIMAP7,CAV2,TSPAN4,FCN3
SCARB1,SOCS3,A2M,TP53I11
FLT1,ALPL,PODXL,IGFBP5
IL3RA,FKBP1A,HS3ST1,RAB13
CDKN1A,ADCY4,SEPW1,CA2
NCOA7,SPRY1,LEPROT,FABP5
ARL4A,NRN1,TUBA1B,MYO1B
SEPW1,IFITM2,NDRG1,NES
LIMS2,CCDC85B,ESAM,LMCD1
COL4A1,VEGFC,DST,LAMB1
GSN,PLS3,MFAP4,RGCC
ITM2B,KDR,UNC5B,PTP4A3
CDC42EP3,FAM107A,VAMP5,MTUS1
HLA-E,LDB2,NNMT,KANK3
TNFRSF10D,ESM1,ASPM,ADAMTS9
SOCS2,CD9,SCN3B,SMAD1
MTUS1,CD59,ADGRL4,S1PR1
FCGRT,UACA,CTSL,TMEM255B
WWTR1,PTPRM,GUSB,SERPINE1
CDH5,SYNPO,UTRN,STOM
CSRP2,RGS3,PTX3,ECSCR.1
ACTN1,MALL,CDH13,MMRN2
LPAR6,CYB5R3,IGF1,CD200
HLA-DRB1,MGLL,TUBA1A,UACA
SOX17,UTRN,HLA-E,SGK1
SPARC,ASS1,KDR,CD81
RAB11A,PTP4A3,ITM2B,LY6H
PLSCR1,KLF4,UBE2C,TNFRSF10D
TMEM255B,LAP3,SOX18,ITGA5
CD320,TGFBR2,RASGRP3,GPIHBP1
CNN3,CFH,LMO2,HECW2
APP,HLA-E,COLEC12,FZD4
CNKSR3,PLLP,ARL6IP1,PIK3R3
TGFBR3,RCAN1,SOX4,GNAI2
NOSTRIN,ABL2,MYL12B,MLEC
ERG,NEDD9,CD320,VIM
STOM,ACE,S100A16,HEG1
PKP4,TMEM100,TYMS,WWTR1
RALGAPA2,RAMP3,ANXA5,PDK4
TNFRSF1A,PDLIM1,PTMS,TM4SF1
CCDC85B,PREX2,PROCR,DLC1
PRSS23,FBLN2,ARL4A,CDC37
TINAGL1,GABARAPL2,ADAMTS1,BST2
TSPAN4,TACC1,GJA1,ADAMTS1
PVRL2,RAPGEF5,SPRY1,NRP2
