Luminal Progenitors,Mature Luminal,Myoepithelial
KRT15,SCGB3A1,KRT14
LTF,AZGP1,KRT17
PTN,PIP,MYLK
MMP7,MGP,KRT5
MGP,MUCL1,TAGLN
CXCL2,XBP1,ACTG2
TACSTD2,TFF1,DST
FDCSP,C8orf4,ACTA2
SLPI,STC2,CXCL14
SFRP1,AREG,CSRP1
CLDN4,KRT18,CNN1
SAA1,TFF3,C2orf40
TM4SF1,KRT8,FBXO32
CCL28,MAFF,MT1X
CRYAB,CLDN4,SFN
WFDC2,WFDC2,MT1E
KRT23,TM4SF1,CRYAB
GABRP,EFHD1,MT2A
RCAN1,SERPINA1,TPM2
KRT7,ANKRD30A,EGR1
NDRG2,TACSTD2,PDLIM3
C2orf82,PLAT,CYR61
KRT14,CEBPD,MYL9
RARRES1,BAMBI,SAA1
PIGR,MAGED2,PDLIM4
PROL1,PDK4,NNMT
CX3CL1,EFNA1,TPM1
CXCL3,IER3,CALML3
TPT1-AS1,BTG2,TNS4
SCGB3A1,SPINT2,OXTR
LCN2,ATF3,CLU
CLU,ELF3,ACTN1
SAA2,CRACR2B,MYH11
KRT8,SPDEF,SYNM
CLDN3,KIAA1324,DKK3
CHI3L1,CXCL2,PALLD
KRT19,SOX4,TRIM29
KLK5,SERHL2,PERP
KRT6B,KRT19,TACSTD2
PDZK1IP1,ATP1B1,FHL2
KLF5,SLC40A1,SCPEP1
KRT5,SOCS2,MYC
APP,ERRFI1,PTN
IMPDH2,CLDN7,SFRP1
KRT16,MLPH,FOS
PHLDA2,CITED1,PDLIM1
KRT18,RND1,EFEMP1
CDC42EP1,SLC39A6,CDKN1A
SLC25A37,TAT,TUBB2A
SOD2,GPRC5A,PPP1R14A
ELF5,SCUBE2,BCAM
MAFF,PTHLH,ANXA3
SDC4,GSTM3,PLK2
TNFRSF12A,RASEF,KRT7
PERP,TCEAL4,ARC
CLDN7,TBX3,GEM
MYC,ANGPTL4,CALD1
NTRK2,CD9,GRAMD3
STAC2,TPM1,COL17A1
PLPP2,FBP1,CCL2
EMP1,PERP,NFIB
MT1X,TNFSF10,SNCG
MFGE8,BATF,MAOB
NFIB,GSTP1,FBXO2
DSC2,LIMCH1,CHI3L1
TCN1,TSC22D1,PTRF
KRT17,TRAF4,STAC2
KIT,AR,GAS6
SYNM,DSP,CITED2
PDLIM3,UGDH,TGFB1I1
EEF2,RUNX1,CDH3
AZGP1,RBP1,WLS
CYR61,LTF,TFAP2C
CXCL1,AFF3,DMKN
ATP1B1,MYO6,SSPN
ATF3,PEBP1,SGK1
CRABP1,ESR1,SYT8
SOX9,LDLR,NTRK2
DEFB1,CLU,ZYX
PPP1R1B,BCAM,JUN
PPA1,TRPS1,MAFB
AK5,VTCN1,TUBB2B
EHF,CYP4X1,PIK3R1
ELF3,TNFRSF12A,FAM210B
CRACR2B,PI15,SOCS3
SH3YL1,DHCR24,LAMB3
EDN1,GATA3,TINAGL1
CD59,CSNK1A1,KRT8
SPINT1,ACADVL,MFGE8
NCOA7,TMC5,PLPP1
FOLR1,AGR2,IER3
KRTCAP3,IL20RA,MT1M
IQCG,EMP2,LTBP2
ZC3H12A,ERBB4,LBH
TSC22D1,FHL2,ATF3
NME2,AGR3,CD151
CHI3L2,PVRL2,KLF10
EPCAM,IRF1,SEMA3C
ERRFI1,CRNDE,ID4
LMNA,PDLIM1,CNN2
