p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength,cluster0,celltype
0,2.596610113,0.905,0.075,0,Luminal Progenitors,KRT15,subset,2.596610113,Luminal Progenitors,Epithelial
0,2.552161021,0.846,0.074,0,Luminal Progenitors,LTF,subset,2.552161021,Luminal Progenitors,Epithelial
0,2.314689842,0.476,0.063,0,Luminal Progenitors,PTN,subset,2.314689842,Luminal Progenitors,Epithelial
0,2.213252287,0.621,0.031,0,Luminal Progenitors,MMP7,subset,2.213252287,Luminal Progenitors,Epithelial
0,2.012390051,0.987,0.448,0,Luminal Progenitors,MGP,subset,2.012390051,Luminal Progenitors,Epithelial
0,1.92679508,0.782,0.129,0,Luminal Progenitors,CXCL2,subset,1.92679508,Luminal Progenitors,Epithelial
0,1.90739082,0.927,0.237,0,Luminal Progenitors,TACSTD2,subset,1.90739082,Luminal Progenitors,Epithelial
2.6399999999999997e-177,1.856506769,0.203,0.039,7.839999999999999e-173,Luminal Progenitors,FDCSP,subset,1.856506769,Luminal Progenitors,Epithelial
0,1.77426345,0.9,0.133,0,Luminal Progenitors,SLPI,subset,1.77426345,Luminal Progenitors,Epithelial
0,1.738546804,0.859,0.073,0,Luminal Progenitors,SFRP1,subset,1.738546804,Luminal Progenitors,Epithelial
7.889999999999999e-208,2.369193486,0.365,0.065,2.35e-203,Mature Luminal,SCGB3A1,subset,2.369193486,Mature Luminal,Epithelial
0,2.200019665,0.983,0.255,0,Mature Luminal,AZGP1,subset,2.200019665,Mature Luminal,Epithelial
0,2.194914741,0.602,0.113,0,Mature Luminal,PIP,subset,2.194914741,Mature Luminal,Epithelial
0,1.92677448,0.973,0.452,0,Mature Luminal,MGP,subset,1.92677448,Mature Luminal,Epithelial
5.819999999999999e-151,1.921960524,0.462,0.148,1.7299999999999998e-146,Mature Luminal,MUCL1,subset,1.921960524,Mature Luminal,Epithelial
0,1.872780087,0.991,0.506,0,Mature Luminal,XBP1,subset,1.872780087,Mature Luminal,Epithelial
1.35e-223,1.717909075,0.334,0.055,4.01e-219,Mature Luminal,TFF1,subset,1.717909075,Mature Luminal,Epithelial
0,1.673814267,0.677,0.13,0,Mature Luminal,C8orf4,subset,1.673814267,Mature Luminal,Epithelial
0,1.673122942,0.808,0.085,0,Mature Luminal,STC2,subset,1.673122942,Mature Luminal,Epithelial
0,1.651720954,0.7,0.223,0,Mature Luminal,AREG,subset,1.651720954,Mature Luminal,Epithelial
0,3.932460531,0.943,0.046,0,Myoepithelial,KRT14,subset,3.932460531,Myoepithelial,Epithelial
0,3.564221208,0.913,0.051,0,Myoepithelial,KRT17,subset,3.564221208,Myoepithelial,Epithelial
0,2.640830878,0.863,0.094,0,Myoepithelial,MYLK,subset,2.640830878,Myoepithelial,Epithelial
0,2.551835796,0.883,0.045,0,Myoepithelial,KRT5,subset,2.551835796,Myoepithelial,Epithelial
0,2.534837805,0.956,0.17,0,Myoepithelial,TAGLN,subset,2.534837805,Myoepithelial,Epithelial
0,2.418392361,0.625,0.029,0,Myoepithelial,ACTG2,subset,2.418392361,Myoepithelial,Epithelial
0,2.363766432,0.897,0.166,0,Myoepithelial,DST,subset,2.363766432,Myoepithelial,Epithelial
0,2.328548261,0.91,0.182,0,Myoepithelial,ACTA2,subset,2.328548261,Myoepithelial,Epithelial
0,2.300498743,0.741,0.057,0,Myoepithelial,CXCL14,subset,2.300498743,Myoepithelial,Epithelial
0,2.201950584,0.935,0.33,0,Myoepithelial,CSRP1,subset,2.201950584,Myoepithelial,Epithelial
