p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength,cluster0,celltype
0,3.416213184,0.914,0.169,0,CAFs MSC iCAF like s1,APOD,subset,3.416213184,CAFs MSC iCAF-like s1,Fibro
0,3.371818484,0.994,0.096,0,CAFs MSC iCAF like s1,DCN,subset,3.371818484,CAFs MSC iCAF-like s1,Fibro
0,2.824603381,0.583,0.159,0,CAFs MSC iCAF like s1,CFD,subset,2.824603381,CAFs MSC iCAF-like s1,Fibro
0,2.673538913,0.596,0.044,0,CAFs MSC iCAF like s1,PTGDS,subset,2.673538913,CAFs MSC iCAF-like s1,Fibro
0,2.483910393,0.94,0.082,0,CAFs MSC iCAF like s1,LUM,subset,2.483910393,CAFs MSC iCAF-like s1,Fibro
0,2.434943554,0.655,0.073,0,CAFs MSC iCAF like s1,C3,subset,2.434943554,CAFs MSC iCAF-like s1,Fibro
0,2.41881473,0.858,0.058,0,CAFs MSC iCAF like s1,SFRP2,subset,2.41881473,CAFs MSC iCAF-like s1,Fibro
0,2.39890398,0.949,0.117,0,CAFs MSC iCAF like s1,C1S,subset,2.39890398,CAFs MSC iCAF-like s1,Fibro
0,2.303799886,0.557,0.052,0,CAFs MSC iCAF like s1,CXCL14,subset,2.303799886,CAFs MSC iCAF-like s1,Fibro
0,2.299170852,0.801,0.075,0,CAFs MSC iCAF like s1,CCDC80,subset,2.299170852,CAFs MSC iCAF-like s1,Fibro
0,3.095187595,0.706,0.182,0,CAFs MSC iCAF like s2,APOD,subset,3.095187595,CAFs MSC iCAF-like s2,Fibro
4.6e-95,2.19387646,0.158,0.026,1.37e-90,CAFs MSC iCAF like s2,CCL19,subset,2.19387646,CAFs MSC iCAF-like s2,Fibro
0,2.07700611,0.842,0.11,0,CAFs MSC iCAF like s2,DCN,subset,2.07700611,CAFs MSC iCAF-like s2,Fibro
0,2.043808476,0.545,0.053,0,CAFs MSC iCAF like s2,PTGDS,subset,2.043808476,CAFs MSC iCAF-like s2,Fibro
0,1.835980824,0.655,0.106,0,CAFs MSC iCAF like s2,CXCL12,subset,1.835980824,CAFs MSC iCAF-like s2,Fibro
0,1.773631337,0.797,0.096,0,CAFs MSC iCAF like s2,LUM,subset,1.773631337,CAFs MSC iCAF-like s2,Fibro
0,1.707174891,0.878,0.436,0,CAFs MSC iCAF like s2,TIMP1,subset,1.707174891,CAFs MSC iCAF-like s2,Fibro
0,1.670469448,0.771,0.14,0,CAFs MSC iCAF like s2,COL6A2,subset,1.670469448,CAFs MSC iCAF-like s2,Fibro
0,1.636922987,0.742,0.131,0,CAFs MSC iCAF like s2,C1S,subset,1.636922987,CAFs MSC iCAF-like s2,Fibro
0,1.616428326,0.782,0.118,0,CAFs MSC iCAF like s2,COL3A1,subset,1.616428326,CAFs MSC iCAF-like s2,Fibro
0,2.464234995,0.945,0.119,0,CAFs myCAF like s4,COL3A1,subset,2.464234995,CAFs myCAF like s4,Fibro
0,2.446438952,0.949,0.151,0,CAFs myCAF like s4,COL1A1,subset,2.446438952,CAFs myCAF like s4,Fibro
0,2.320601092,0.949,0.139,0,CAFs myCAF like s4,COL1A2,subset,2.320601092,CAFs myCAF like s4,Fibro
0,2.260703533,0.87,0.141,0,CAFs myCAF like s4,COL6A2,subset,2.260703533,CAFs myCAF like s4,Fibro
