p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength,cluster0,celltype
3.5299999999999993e-152,2.705259653,0.449,0.059,1.05e-147,Cycling Myeloid,SPP1,subset,2.705259653,Cycling_Myeloid,Mye
1.17e-294,2.014033215,0.808,0.094,3.4899999999999997e-290,Cycling Myeloid,C1QB,subset,2.014033215,Cycling_Myeloid,Mye
1.17e-295,1.893740121,0.799,0.086,3.4699999999999996e-291,Cycling Myeloid,C1QC,subset,1.893740121,Cycling_Myeloid,Mye
2.5499999999999998e-161,1.829699486,0.616,0.11,7.589999999999998e-157,Cycling Myeloid,APOC1,subset,1.829699486,Cycling_Myeloid,Mye
4.2799999999999994e-291,1.829253038,0.808,0.093,1.2699999999999998e-286,Cycling Myeloid,C1QA,subset,1.829253038,Cycling_Myeloid,Mye
1.8099999999999997e-279,1.775676858,0.855,0.13,5.39e-275,Cycling Myeloid,LYZ,subset,1.775676858,Cycling_Myeloid,Mye
0,1.737574876,0.894,0.106,0,Cycling Myeloid,AIF1,subset,1.737574876,Cycling_Myeloid,Mye
6.37e-281,1.693961171,0.881,0.144,1.89e-276,Cycling Myeloid,TYROBP,subset,1.693961171,Cycling_Myeloid,Mye
5.689999999999999e-286,1.639289594,0.868,0.131,1.69e-281,Cycling Myeloid,FCER1G,subset,1.639289594,Cycling_Myeloid,Mye
4.6999999999999995e-254,1.63200538,0.877,0.438,1.3999999999999997e-249,Cycling Myeloid,CTSB,subset,1.63200538,Cycling_Myeloid,Mye
3.4199999999999996e-153,2.664192052,0.931,0.3,1.0199999999999998e-148,Myeloid c0 DC LAMP3,BIRC3,subset,2.664192052,Myeloid_c0_DC_LAMP3,Mye
1.4099999999999999e-210,2.518936994,0.939,0.612,4.18e-206,Myeloid c0 DC LAMP3,TXN,subset,2.518936994,Myeloid_c0_DC_LAMP3,Mye
1.2499999999999997e-119,2.416986557,0.84,0.102,3.7299999999999998e-115,Myeloid c0 DC LAMP3,CCR7,subset,2.416986557,Myeloid_c0_DC_LAMP3,Mye
2.29e-114,2.319844644,0.405,0.008,6.819999999999999e-110,Myeloid c0 DC LAMP3,CCL22,subset,2.319844644,Myeloid_c0_DC_LAMP3,Mye
6.3799999999999994e-96,2.265295247,0.947,0.409,1.9000000000000002e-91,Myeloid c0 DC LAMP3,HLA-DRA,subset,2.265295247,Myeloid_c0_DC_LAMP3,Mye
3.08e-108,2.242783872,0.679,0.026,9.159999999999999e-104,Myeloid c0 DC LAMP3,CCL19,subset,2.242783872,Myeloid_c0_DC_LAMP3,Mye
4.24e-239,2.20005467,0.847,0.014,1.2599999999999996e-234,Myeloid c0 DC LAMP3,LAMP3,subset,2.20005467,Myeloid_c0_DC_LAMP3,Mye
2.3299999999999997e-133,2.185101973,0.611,0.018,6.919999999999999e-129,Myeloid c0 DC LAMP3,IDO1,subset,2.185101973,Myeloid_c0_DC_LAMP3,Mye
6.029999999999999e-110,2.141987307,0.962,0.395,1.7900000000000002e-105,Myeloid c0 DC LAMP3,HLA-DPB1,subset,2.141987307,Myeloid_c0_DC_LAMP3,Mye
2.1699999999999996e-145,2.116997464,0.779,0.151,6.469999999999999e-141,Myeloid c0 DC LAMP3,FSCN1,subset,2.116997464,Myeloid_c0_DC_LAMP3,Mye
0,3.111258363,0.503,0.051,0,Myeloid c1 LAM1 FABP5,SPP1,subset,3.111258363,Myeloid_c1_LAM1_FABP5,Mye
0,2.75585947,0.798,0.098,0,Myeloid c1 LAM1 FABP5,APOC1,subset,2.75585947,Myeloid_c1_LAM1_FABP5,Mye
0,2.615043962,0.842,0.217,0,Myeloid c1 LAM1 FABP5,APOE,subset,2.615043962,Myeloid_c1_LAM1_FABP5,Mye
