Cycling PVL,PVL Differentiated s3,PVL Immature s1,PVL Immature s2
ACTA2,ACTA2,CCL19,RGS5
TIMP1,TAGLN,CCL2,NDUFA4L2
NDUFA4L2,MYL9,CCL21,COL18A1
THY1,TPM2,RGS5,IGFBP7
RGS5,NDUFA4L2,IGFBP7,THY1
COL4A2,SOD3,IGFBP5,SPARC
COL4A1,ADIRF,CALD1,LHFP
CALD1,MYH11,TAGLN,CPE
COL18A1,RGS5,ACTA2,COL4A1
MYL9,RERGL,MYL9,HIGD1B
LGALS1,IGFBP7,LHFP,COL4A2
SPARC,CALD1,STEAP4,TIMP1
TPM2,SPARCL1,TIMP3,PDGFRB
IGFBP7,MT1M,NDUFA4L2,COX4I2
TUBA1B,C11orf96,MT1M,CALD1
BGN,PPP1R14A,COL18A1,BGN
SDC2,MFGE8,THY1,NOTCH3
TAGLN,PLAC9,C2orf40,COL6A2
MYLK,DSTN,GGT5,SPARCL1
COL1A1,PTP4A3,SERPING1,CD36
