Cycling PVL,PVL Differentiated s3,PVL Immature s1,PVL Immature s2
ACTA2,ACTA2,CCL19,RGS5
TIMP1,TAGLN,CCL2,NDUFA4L2
NDUFA4L2,MYL9,CCL21,COL18A1
THY1,TPM2,RGS5,IGFBP7
RGS5,NDUFA4L2,IGFBP7,THY1
COL4A2,SOD3,IGFBP5,SPARC
COL4A1,ADIRF,CALD1,LHFP
CALD1,MYH11,TAGLN,CPE
COL18A1,RGS5,ACTA2,COL4A1
MYL9,RERGL,MYL9,HIGD1B
LGALS1,IGFBP7,LHFP,COL4A2
SPARC,CALD1,STEAP4,TIMP1
TPM2,SPARCL1,TIMP3,PDGFRB
IGFBP7,MT1M,NDUFA4L2,COX4I2
TUBA1B,C11orf96,MT1M,CALD1
BGN,PPP1R14A,COL18A1,BGN
SDC2,MFGE8,THY1,NOTCH3
TAGLN,PLAC9,C2orf40,COL6A2
MYLK,DSTN,GGT5,SPARCL1
COL1A1,PTP4A3,SERPING1,CD36
TYMS,MCAM,MT2A,PCOLCE
TPM1,SORBS2,C11orf96,PLXDC1
COL6A2,COL18A1,CCL8,TPPP3
COL1A2,TINAGL1,TPM2,GJA4
RARRES2,CAV1,CPE,4-Sep
PCOLCE,TPM1,C1S,MFGE8
COL6A1,MT1E,NOTCH3,MYO1B
SOD3,PLN,SOD3,PTP4A3
FN1,CSRP2,COL4A2,SERPING1
STMN1,PRKCDBP,COL4A1,A2M
MCAM,MYLK,C1R,KCNJ8
COL5A2,FRZB,TIMP1,FAM162B
FRZB,IGFBP5,FILIP1L,MYL9
TK1,NOTCH3,MT1A,UACA
TUBB,CRYAB,NR2F2,STEAP4
UACA,LHFP,RGS16,FRZB
PLAC9,MAP3K7CL,PDGFRB,IFITM3
COL3A1,GJA4,IFITM3,COL6A1
RANBP1,MAP1B,BGN,PLAC9
PRKCDBP,4-Sep,SPARC,RASD1
HMGN2,ADAMTS1,MYC,TPM2
MAP1B,BGN,MAP1B,SOD3
C11orf96,CSRP1,SYNPO2,MCAM
CPE,MT1A,MT1E,CD248
LINC00152,GPX3,COL6A2,CCDC102B
4-Sep,CPE,PCOLCE,ITGB1
MEF2C,BCAM,EPS8,FN1
EGFL6,PGF,TINAGL1,PGF
ITGA1,ID3,GJA4,PPP1R14A
ITGB1,MT2A,FHL1,TFPI
SERPINH1,TSC22D1,CAV1,EPS8
MIR4435-2HG,PTRF,CFH,ACTA2
ID3,WFDC1,EGR1,COL3A1
PPP1R14A,NTRK2,TPM1,SERPINF1
MFGE8,C1QTNF1,ADAMTS1,LGALS1
H2AFZ,CCL2,TFPI,LGALS3BP
PTN,TIMP3,ADAMTS4,GUCY1B3
HIGD1B,CRISPLD2,CRISPLD2,MEF2C
JAG1,AC013461.1,A2M,TPM1
GPX3,LMOD1,CD36,NR2F2
DUT,PHLDA2,GPX3,COL1A2
MAP3K7CL,COX4I2,PRRX1,ABCC9
KIAA0101,FLNA,KCNJ8,ITGA1
GUCY1B3,PDGFRB,C10orf10,TGFB1I1
VPS29,MGST3,OLFML2B,CAV1
PTTG1,NET1,PPP1R14A,ID3
7-Sep,JAG1,COX4I2,ENPEP
MINOS1,GADD45B,PLAC9,FABP4
CALU,FILIP1L,MFGE8,FILIP1L
TPPP3,ISYNA1,GEM,CYGB
CAV1,CDKN1A,SMOC2,MAP1B
COL5A3,CNN1,FABP4,SERPINH1
PTRF,TGFB1I1,CYR61,ADIRF
CD59,IFITM3,CCDC102B,MIR4435-2HG
POSTN,RGS16,FRZB,COL5A2
PDGFRB,HIGD1B,CXCL12,EBF1
NUCKS1,EGR1,ISYNA1,GJC1
HIST1H4C,OAZ2,ID3,EDNRA
LHFP,CAV2,HIGD1B,LAMA4
CYB5R3,DKK3,RARRES2,OLFML2A
SPARCL1,A2M,SERPINF1,TINAGL1
COX4I2,PDK4,FHL2,LINC00152
WFDC1,EPAS1,CNN3,PHLDA1
ENPEP,LBH,ANGPTL4,GGT5
SERPINF1,FXYD1,TMEM176A,COL6A3
FILIP1L,PTK2,4-Sep,7-Sep
TPM4,TPPP3,PTRF,TBX2
TGFB1I1,EDNRA,SOCS3,CD63
COL6A3,VIM,ABCC9,GUCY1A3
PCNA,SERPING1,MYLK,OAZ2
BIRC5,7-Sep,SPARCL1,PTK2
PKIG,C10orf10,FAM162B,RGS16
TOP2A,CASQ2,EPHX1,C20orf27
PGF,MEF2C,IGFBP4,FXYD6
VIM,CEBPD,CHN1,TIMP3
ADIRF,RASD1,MYO1B,PMEPA1
MGST3,SLIT3,CD63,C11orf96
CENPF,RCAN2,ADIRF,SMOC2
GJA4,SDC2,SSTR2,EHD2
LAMC1,S100A4,PHLDA1,INAFM1
NOTCH3,SNCG,TGFBI,CNN3
NREP,ANGPTL4,COL1A2,DLC1
UBE2C,NR2F2,MCAM,PRSS23
PRRX1,COL4A2,NNMT,ADAMTS4
NUSAP1,HES4,7-Sep,EPAS1
VCAN,MSRB3,FAM13C,COL5A3
MYO1B,SMOC2,COL6A1,C1R
CLEC11A,ACTG2,LAPTM4A,TDO2
PRSS23,TBX2,COL14A1,PRKCDBP
SLC25A5,CD151,RASL11A,LAPTM4A
HES4,C2orf40,SELM,ISYNA1
RHOC,EPS8,TMEM176B,C1QTNF1
ANGPT2,HSPB6,ASPN,CLEC11A
SLIRP,CRIP2,C1QTNF1,NDRG2
CKS1B,LPP,ANGPT2,GPX3
TFPI,GPRC5C,LMOD1,CSRP2
LAMA4,GUCY1A3,CD59,ANGPT2
OLFML2A,SPARC,ID4,CDH6
HMGB1,EHD2,PTP4A3,PRRX1
ARPC5,FHL1,PRKCDBP,AC013461.1
IFITM3,CNN3,ADGRF5,CHN1
CRIP2,PDGFA,TPPP3,EGFLAM
CXCL9,SELM,LGALS3BP,FAM13C
AC013461.1,NUDT4,SLIT3,MGST3
11-Sep,COL14A1,SDC2,NID1
NDUFA12,YBX3,GUCY1B3,ADGRF5
MCM3,PDLIM3,RASD1,IFIT3
PSMA4,PLS3,CEBPD,SYNPO2
NNMT,JUN,FGF7,COX7A1
EPS8,TGFBI,HSPB6,CSPG4
GLRX5,OR51E1,ITGA1,NREP
RGS16,ADAMTS4,TGFB1I1,CAMK2N1
CD63,RASL12,EBF1,DKK3
ACTN1,GUCY1B3,NDRG2,CYB5R3
UBE2T,MYC,COL3A1,PDE1A
COL12A1,HCFC1R1,PLXDC1,FBLIM1
FSTL1,TIMP1,UACA,JAG1
COX7A2,UBA2,EPAS1,ARHGAP29
PLXDC1,LGI4,APOE,CARMN
RRM2,SERPINF1,LPP,MAP3K7CL
OLFML2B,PHLDA1,CDKN1A,LAMB2
DKK3,PPP1R12A,LGI4,PDGFA
SMC4,RBPMS,LAMA4,COL1A1
RPA3,ILK,GSN,CXCL9
TUBA1A,COL4A1,PMEPA1,PTRF
MSRB3,TNS1,IFITM1,S1PR3
CNN3,ESAM,GAS6,SERPINI1
CSRP2,ZFHX3,CD81,GAS6
PTP4A3,RASL11A,CSRP1,TAGLN
CCDC102B,MGLL,EHD2,ARHGEF17
RAB34,GSN,FXYD1,MT2A
SGCB,ATF3,SORBS3,GSN
COL5A1,COX7A1,ITGB1,TESC
ANXA5,PKIG,CST3,TMEM204
FLNA,CYB5R3,CSRP2,HES4
EHD2,SERPINI1,PGF,CD81
PDGFA,EGFL6,COL6A3,ANGPTL4
HAT1,PDLIM7,MYH9,SDC2
ILK,EFHD1,IL6,OLFML2B
RCN3,MRGPRF,FLNA,BMP1
SERPING1,GEM,SERPINH1,OLFML3
DSTN,ANGPT2,KCNE4,IFI27
DTYMK,EBF1,TNC,AGRN
CD248,PCOLCE,C20orf27,GUCY1A2
YWHAH,C9orf3,FBLIM1,LPL
NID2,HSPB8,ADH1B,FOXS1
FKBP10,SYNPO2,CTSC,CD59
CRISPLD2,FILIP1,FMO2,RASL12
VKORC1,ACTN4,LMCD1,MYLK
SMC2,LGALS1,VIM,ADAMTS1
BMP1,KANK2,CYB5R3,CRISPLD2
TMEM106C,SOCS3,EDNRA,MYH9
NUDT4,ITGB1,LGALS1,EPHX1
AKAP12,CRTAP,MRGPRF,TCF4
TPX2,ID4,GUCY1A3,NEURL1B
MAD2L1,ENPEP,AEBP1,LAMC1
RAD51AP1,STOM,MEF2C,LGI4
NAP1L1,CCDC3,FOS,FAM213A
TMEM165,CDH6,ZEB2,TNS1
LGALS3BP,FOXS1,NEURL1B,PRKG1
SMOC2,ACTN1,PTK2,EFEMP2
NDUFB8,TBX2-AS1,JAG1,TGFBI
GGH,ARPC1A,PMP22,ANO1
ZFHX3,CARMN,IFITM2,IFITM1
CCNB1,PPP1R12B,CD248,ITGA7
PLN,RBPMS2,DLC1,C1orf54
CALM2,FOS,PDLIM3,SPON2
IFI27,AOC3,STOM,COL5A1
CENPN,MT1X,SGCE,PKIG
S1PR3,PRRX1,MGLL,PTMS
GUCY1A3,CALM2,CLSTN2,CFH
PTMS,SORBS3,RBPMS,NID2
ADAMTS1,NEXN,AC013461.1,SPTBN1
SGCE,KCNMB1,FOSB,ASPN
PSMB6,RHOB,NID1,STOM
LSM3,MRVI1,COX7A1,CST3
CENPM,PALLD,COL5A2,CRIP2
TUBB6,IGFBP4,TNS1,KCNE4
ARHGAP29,NR4A1,RERG,ESAM
MAP2K1,HEYL,PROCR,ANKRD10
MORF4L1,NDRG2,PDK4,EBF2
LOXL2,SGCA,PDE1A,IGFBP4
MED4,HSPB1,GUCY1A2,RHOC
PTK2,RRAD,PDGFA,HOPX
FXYD6,ARPC5,DKK3,PTN
PDLIM1,CLMN,INAFM1,LZTS1
NID1,PARM1,PARM1,CRTAP
RSU1,CYSTM1,CAV2,11-Sep
SIVA1,FHL5,PDLIM1,C12orf57
OAZ2,VASN,SLC38A2,ARPC5
ARL2,AXL,VCL,VASN
MZT2B,NNMT,LAMB2,RNF152
VDAC3,CCL8,ENPEP,TSPAN3
SULF1,FADS3,MAP1LC3A,BST2
CRYAB,OLFML2A,LINC00152,EID1
RAN,COL6A2,FAM46A,CHCHD10
DPY19L2,EGFLAM,MIR4435-2HG,AVPR1A
CENPW,PHLDB2,VASN,SEMA5A
USMG5,ARHGAP29,IGFBP2,FRMD3
INAFM1,KCNAB1,MFAP4,CAV2
NDUFB2,IL6,TACC1,PPP1R12A
A2M,PDLIM1,REM1,ECM2
ADAMTS4,ITGA1,ARHGAP29,MPRIP
WBP5,AVPR1A,HES4,SGCE
PHLDA2,CRIP1,EFEMP2,MGLL
TNFRSF12A,MYO1B,IRF1,MAP1LC3A
CAV2,ITGA7,TNFRSF1A,TPM4
FAP,MOB2,FSTL1,ITM2C
OSTC,SERPINH1,AC017002.2,EMILIN1
NGFRAP1,KCNE4,PLS3,CYSTM1
PDLIM7,IFITM2,EGFLAM,FERMT2
DYNLT1,ESD,ITGA7,GEM
DEK,LTBP1,HES1,HEYL
TUBA1C,INAFM1,OAZ2,NRP1
NR2F2,UACA,ARHGAP1,PEAK1
CLSPN,OLFML2B,FXYD6,SLCO3A1
TNC,PTMS,KLF9,PLCE1
SLC25A11,GPR4,CDH6,MT1M
COMMD4,GJC1,LAMC1,CPM
SMTN,NRIP2,EID1,SPATS2L
IGFBP4,TUBA1A,PALLD,ECM1
CTSK,C12orf57,TSPAN3,EPB41L1
LPP,TPM4,ACTN1,TNFAIP6
LAPTM4A,FBXO32,CYGB,MAGED2
KCNJ8,HEY2,CNN1,LYPD1
EFEMP2,ROCK1,ATF3,ADAP2
PFN1,CPM,PKIG,GNG11
HCFC1R1,EID1,CRTAP,C1S
ITGB1BP1,RSU1,OSMR,MRVI1
ID4,CHN1,LIMA1,OAF
8-Sep,KLHL23,PEAK1,LIMA1
TPGS2,SH3BGRL,LINC01436,FKBP10
RACGAP1,SBDS,PPP1R12A,REM1
CD151,HES1,SRPX,UBA2
GJC1,ITIH5,TPM4,DAAM2
CNN1,FAM162B,AKAP12,SMTN
ANXA2,AEBP1,RBP5,ASAH1
PHPT1,NDN,EDNRB,RBMS3
NDUFA13,FBLIM1,ANKRD10,FILIP1
ANAPC11,VCL,NR4A1,CEBPD
VAMP5,KLF9,CAMK2N1,ANXA6
KCNS3,MTHFD2,THBS1,NDN
NASP,CD59,LINC01197,EGFL6
ANLN,CRIM1,GJC1,RSU1
MKI67,ARHGEF17,CRYAB,DDR2
CENPU,CSPG4,COL1A1,MT1E
LRRC32,PDE5A,RRAD,FAT1
PLS3,SSTR2,ACTN4,ADGRA2
TINAGL1,TLN1,SYTL2,TLN1
GPN3,NGF,WBP5,CSNK1E
ESAM,ID1,TUBA1A,NGFRAP1
EID1,LAPTM4A,HSPA1A,ZEB2
FUCA2,NEURL1B,ESAM,PPIB
EDNRA,APOLD1,SEMA5A,NES
FAM234A,PDLIM5,DDR2,PHLDB1
CSRP1,AK1,IFIT3,IFI16
ZNF618,LGALS3BP,ARHGEF17,CLMN
CYC1,TACC1,SMIM3,GPM6B
C1orf54,SMTN,SPTBN1,SPECC1
B3GNT2,RERG,LURAP1L,TRPC6
CNIH4,CD248,KANK2,ARHGAP1
RCN1,TSPAN3,TCF4,VIM
GPRC5C,NFASC,LEPROT,GPRC5C
SLIT3,LRRC32,MRVI1,NDUFB2
CENPK,DLC1,FOXS1,HES1
RP11-834C11.4,C1R,MOCS1,NDUFA13
MORF4L2,ANXA6,COL5A3,SSTR2
COX6A1,ARHGAP10,ANO1,ILK
MRPS18C,ATP1B2,LOXL2,PDLIM2
OR51E1,GAS6,TEX41,ANGPT1
PRC1,AKAP12,ANXA5,RPS27L
GSTP1,ANGPT1,PHLDB1,ADAMTS12
MIS18A,ADCY3,RHOC,MOCS1
ARHGAP6,FERMT2,EBF2,PLS3
RCN2,TFPI,ARHGAP15,BSG
VCL,STEAP4,EPB41L2,IGFBP2
PSMA3,LEPROT,SLC7A2,ISG15
NDUFB6,TUBA1C,CD151,MXRA8
DHFR,CHURC1,GADD45B,TUBA1A
MCM7,SEPW1,VCAM1,IL34
EEF1E1,PDE3A,MSRB3,EVA1B
RNASEH2A,,ADCY3,RBPMS
GMNN,,MGST3,PARVA
ERH,,ANGPT1,CTD-3193K9.4
ADAMTS12,,PRSS23,ARHGAP10
FAT1,,AVPR1A,
ACTG2,,PDE5A,
PPIC,,ARID5B,
RND3,,AXL,
