T cells c0 CD4 CCR7,T cells c1 CD4 IL7R,T cells c2 CD4 T regs FOXP3,T cells c3 CD4 Tfh CXCL13,T cells c4 CD8 ZFP36,T cells c5 CD8 GZMK,T cells c6 IFIT1,T cells c7 CD8 IFNG,T cells c8 CD8 LAG3,T cells c9 NK cells AREG,T cells c10 NKT cells FCGR3A,T cells c11 MKI67
CCR7,IL7R,TNFRSF4,CXCL13,XCL1,GZMK,ISG15,CCL4,CCL5,GNLY,GNLY,HIST1H4C
LTB,ANXA1,LTB,NMB,CCL5,CST7,ISG20,CCL4L2,CD8A,XCL1,NKG7,STMN1
IL7R,CXCR4,IL32,NR3C1,ZNF683,CD8A,MX1,GZMK,CCL4L2,XCL2,GZMB,HMGB2
SARAF,KLRB1,BATF,DUSP4,CD69,ZFP36L2,IFITM1,IFNG,GZMB,AREG,FGFBP2,TYMS
SELL,TNFAIP3,FOXP3,TNFRSF18,CCL4,CCL5,OASL,CCL5,NKG7,KLRD1,PRF1,MKI67
CD3E,RGCC,TIGIT,CD200,XCL2,DUSP2,IFIT3,GZMA,CCL4,NKG7,KLRD1,CXCL13
ZFP36L2,CD69,TNFRSF18,TNFRSF4,GNLY,CD8B,RSAD2,NKG7,CXCL13,TRDC,GZMH,TUBB
GPR183,CD40LG,CTLA4,ITM2A,CD8A,NKG7,IFIT2,GZMH,CD8B,KLRC1,CCL4,HMGN2
BTG1,TSC22D3,CARD16,CD2,RP11-291B21.2,GZMM,CCL5,CST7,GZMA,GZMB,GZMA,TUBA1B
PASK,CREM,TRAC,SRGN,RGCC,GZMA,GZMK,CD8A,TRBV7-9,CTSW,CST7,RRM2
