p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength,cluster0,celltype
0,1.426708278,0.607,0.077,0,T cells c0 CD4 CCR7,CCR7,subset,1.426708278,T_cells_c0_CD4+_CCR7,T
0,1.362373251,0.795,0.181,0,T cells c0 CD4 CCR7,LTB,subset,1.362373251,T_cells_c0_CD4+_CCR7,T
0,1.35442383,0.878,0.208,0,T cells c0 CD4 CCR7,IL7R,subset,1.35442383,T_cells_c0_CD4+_CCR7,T
0,1.07270864,0.95,0.752,0,T cells c0 CD4 CCR7,SARAF,subset,1.07270864,T_cells_c0_CD4+_CCR7,T
0,1.01297926,0.467,0.099,0,T cells c0 CD4 CCR7,SELL,subset,1.01297926,T_cells_c0_CD4+_CCR7,T
0,0.963621761,0.84,0.242,0,T cells c0 CD4 CCR7,CD3E,subset,0.963621761,T_cells_c0_CD4+_CCR7,T
0,0.937442161,0.922,0.734,0,T cells c0 CD4 CCR7,ZFP36L2,subset,0.937442161,T_cells_c0_CD4+_CCR7,T
0,0.933590997,0.537,0.157,0,T cells c0 CD4 CCR7,GPR183,subset,0.933590997,T_cells_c0_CD4+_CCR7,T
0,0.918236805,0.979,0.821,0,T cells c0 CD4 CCR7,BTG1,subset,0.918236805,T_cells_c0_CD4+_CCR7,T
0,0.895080576,0.299,0.044,0,T cells c0 CD4 CCR7,PASK,subset,0.895080576,T_cells_c0_CD4+_CCR7,T
0,0.850651348,0.666,0.485,0,T cells c0 CD4 CCR7,YPEL5,subset,0.850651348,T_cells_c0_CD4+_CCR7,T
0,0.842626971,0.872,0.596,0,T cells c0 CD4 CCR7,FXYD5,subset,0.842626971,T_cells_c0_CD4+_CCR7,T
0,0.838115127,0.679,0.363,0,T cells c0 CD4 CCR7,LEPROTL1,subset,0.838115127,T_cells_c0_CD4+_CCR7,T
0,0.825016211,0.29,0.04,0,T cells c0 CD4 CCR7,CD40LG,subset,0.825016211,T_cells_c0_CD4+_CCR7,T
0,0.795949942,0.656,0.348,0,T cells c0 CD4 CCR7,SLC2A3,subset,0.795949942,T_cells_c0_CD4+_CCR7,T
0,0.763020591,0.81,0.468,0,T cells c0 CD4 CCR7,LDHB,subset,0.763020591,T_cells_c0_CD4+_CCR7,T
0,0.744509731,0.973,0.844,0,T cells c0 CD4 CCR7,EEF1B2,subset,0.744509731,T_cells_c0_CD4+_CCR7,T
0,0.738070574,0.705,0.268,0,T cells c0 CD4 CCR7,CYTIP,subset,0.738070574,T_cells_c0_CD4+_CCR7,T
0,0.733089075,0.654,0.262,0,T cells c0 CD4 CCR7,FYB,subset,0.733089075,T_cells_c0_CD4+_CCR7,T
0,0.731945877,0.591,0.386,0,T cells c0 CD4 CCR7,CREM,subset,0.731945877,T_cells_c0_CD4+_CCR7,T
0,1.780750551,0.818,0.193,0,T cells c1 CD4 IL7R,IL7R,subset,1.780750551,T_cells_c1_CD4+_IL7R,T
0,1.425017933,0.762,0.449,0,T cells c1 CD4 IL7R,ANXA1,subset,1.425017933,T_cells_c1_CD4+_IL7R,T
0,1.396877649,0.829,0.384,0,T cells c1 CD4 IL7R,CXCR4,subset,1.396877649,T_cells_c1_CD4+_IL7R,T
0,1.25640848,0.37,0.081,0,T cells c1 CD4 IL7R,KLRB1,subset,1.25640848,T_cells_c1_CD4+_IL7R,T
0,1.159900993,0.739,0.406,0,T cells c1 CD4 IL7R,TNFAIP3,subset,1.159900993,T_cells_c1_CD4+_IL7R,T
0,1.159024014,0.652,0.35,0,T cells c1 CD4 IL7R,RGCC,subset,1.159024014,T_cells_c1_CD4+_IL7R,T
0,1.106531943,0.711,0.264,0,T cells c1 CD4 IL7R,CD69,subset,1.106531943,T_cells_c1_CD4+_IL7R,T
0,1.087649343,0.264,0.035,0,T cells c1 CD4 IL7R,CD40LG,subset,1.087649343,T_cells_c1_CD4+_IL7R,T
0,1.011217302,0.817,0.671,0,T cells c1 CD4 IL7R,TSC22D3,subset,1.011217302,T_cells_c1_CD4+_IL7R,T
0,1.007758444,0.609,0.378,0,T cells c1 CD4 IL7R,CREM,subset,1.007758444,T_cells_c1_CD4+_IL7R,T
0,0.95402158,0.741,0.315,0,T cells c1 CD4 IL7R,CD52,subset,0.95402158,T_cells_c1_CD4+_IL7R,T
0,0.93975868,0.414,0.156,0,T cells c1 CD4 IL7R,GPR183,subset,0.93975868,T_cells_c1_CD4+_IL7R,T
0,0.938823017,0.645,0.482,0,T cells c1 CD4 IL7R,YPEL5,subset,0.938823017,T_cells_c1_CD4+_IL7R,T
0,0.913359029,0.91,0.53,0,T cells c1 CD4 IL7R,SRGN,subset,0.913359029,T_cells_c1_CD4+_IL7R,T
0,0.88313496,0.616,0.214,0,T cells c1 CD4 IL7R,CD3D,subset,0.88313496,T_cells_c1_CD4+_IL7R,T
0,0.879260577,0.577,0.208,0,T cells c1 CD4 IL7R,CD2,subset,0.879260577,T_cells_c1_CD4+_IL7R,T
0,0.868259962,0.404,0.159,0,T cells c1 CD4 IL7R,TRAC,subset,0.868259962,T_cells_c1_CD4+_IL7R,T
0,0.860749199,0.198,0.047,0,T cells c1 CD4 IL7R,GPR171,subset,0.860749199,T_cells_c1_CD4+_IL7R,T
0,0.851357338,0.488,0.285,0,T cells c1 CD4 IL7R,BIRC3,subset,0.851357338,T_cells_c1_CD4+_IL7R,T
0,0.844227388,0.347,0.152,0,T cells c1 CD4 IL7R,PTGER4,subset,0.844227388,T_cells_c1_CD4+_IL7R,T
0,1.892898864,0.517,0.072,0,T cells c2 CD4 T regs FOXP3,TNFRSF4,subset,1.892898864,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.822802871,0.747,0.188,0,T cells c2 CD4 T regs FOXP3,LTB,subset,1.822802871,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.81992586,0.912,0.375,0,T cells c2 CD4 T regs FOXP3,IL32,subset,1.81992586,T_cells_c2_CD4+_T-regs_FOXP3,T
